mouse_id,month,treatment,structure_volume
#009,m3,UV,13.00108001
#009,m3,UV,13.00108001
#131,m1,UV,13.00108001
#970,m5,UV,13.00108001
#003,m1,UV,13.00229696
#022,m3,UV,13.00229696
#131,m1,UV,13.00351288
#003,m5,UV,13.00472778
#258,m1,UV,13.00472778
#006,m2,UV,13.00594166
#022,m4,UV,13.00594166
#131,m1,UV,13.00594166
#303,m1,UV,13.00594166
#974,m3,UV,13.00594166
#003,m1,UV,13.00715452
#003,m2,UV,13.00715452
#003,m5,UV,13.00715452
#009,m4,UV,13.00715452
#022,m1,UV,13.00715452
#289,m1,UV,13.00715452
#006,m5,UV,13.00836636
#970,m5,UV,13.00836636
#022,m5,UV,13.00957718
#131,m1,UV,13.00957718
#303,m1,UV,13.00957718
#006,m1,UV,13.01078699
#022,m6,UV,13.01078699
#258,m1,UV,13.01078699
#282,m1,UV,13.01078699
#006,m6,UV,13.01199578
#009,m3,UV,13.01199578
#131,m1,UV,13.01199578
#263,m2,UV,13.01199578
#303,m1,UV,13.01199578
#003,m1,UV,13.01320356
#006,m5,UV,13.01320356
#009,m1,UV,13.01320356
#303,m3,UV,13.01320356
#317,m3,UV,13.01320356
#974,m1,UV,13.01320356
#263,m2,UV,13.01441034
#289,m2,UV,13.01441034
#970,m2,UV,13.01441034
#317,m3,UV,13.0156161
#970,m1,UV,13.0156161
#006,m1,UV,13.01682085
#003,m6,UV,13.0180246
#022,m5,UV,13.0180246
#974,m1,UV,13.0180246
#009,m2,UV,13.01922735
#022,m3,UV,13.01922735
#022,m4,UV,13.01922735
#263,m1,UV,13.01922735
#970,m3,UV,13.01922735
#006,m2,UV,13.0204291
#009,m3,UV,13.0204291
#009,m2,UV,13.0204291
#022,m3,UV,13.0204291
#263,m2,UV,13.02162984
#970,m5,UV,13.02162984
#009,m1,UV,13.02282959
#263,m2,UV,13.02282959
#022,m4,UV,13.02402834
#022,m4,UV,13.02402834
#131,m2,UV,13.02402834
#263,m1,UV,13.02402834
#131,m3,UV,13.02522609
#263,m3,UV,13.02522609
#974,m2,UV,13.02522609
#291,m2,UV,13.02642285
#009,m1,UV,13.0288134
#263,m1,UV,13.0288134
#006,m4,UV,13.03000719
#009,m2,UV,13.03000719
#258,m1,UV,13.03000719
#970,m4,UV,13.03000719
#003,m5,UV,13.03119999
#006,m6,UV,13.03239181
#009,m3,UV,13.03239181
#022,m4,UV,13.03239181
#263,m1,UV,13.03239181
#263,m1,UV,13.03239181
#974,m2,UV,13.03239181
#003,m4,UV,13.03358264
#263,m1,UV,13.03358264
#289,m2,UV,13.03358264
#003,m2,UV,13.0347725
#022,m6,UV,13.0347725
#258,m1,UV,13.0347725
#291,m2,UV,13.0347725
#970,m3,UV,13.0347725
#131,m4,UV,13.03596137
#258,m1,UV,13.03596137
#282,m2,UV,13.03596137
#003,m1,UV,13.03714926
#281,m1,UV,13.03714926
#970,m4,UV,13.03833617
#009,m3,UV,13.03952211
#006,m3,UV,13.04070708
#009,m3,UV,13.04070708
#263,m1,UV,13.04070708
#022,m1,UV,13.04189107
#022,m1,UV,13.04189107
#006,m3,UV,13.04307409
#009,m3,UV,13.04307409
#258,m1,UV,13.04307409
#003,m2,UV,13.04425615
#006,m5,UV,13.04425615
#006,m5,UV,13.04425615
#022,m3,UV,13.04425615
#131,m3,UV,13.04425615
#289,m1,UV,13.04425615
#022,m3,UV,13.04543723
#131,m3,UV,13.04543723
#289,m3,UV,13.04543723
#006,m1,UV,13.04661735
#022,m5,UV,13.04661735
#282,m1,UV,13.04661735
#006,m1,UV,13.0489747
#022,m5,UV,13.0489747
#258,m1,UV,13.0489747
#281,m2,UV,13.0489747
#289,m2,UV,13.0489747
#970,m1,UV,13.0489747
#006,m2,UV,13.05015193
#263,m1,UV,13.05015193
#131,m4,UV,13.05367786
#263,m1,UV,13.05367786
#974,m3,UV,13.05367786
#006,m3,UV,13.05485126
#970,m4,UV,13.05485126
#974,m2,UV,13.05485126
#022,m1,UV,13.05602371
#263,m1,UV,13.05602371
#282,m1,UV,13.05602371
#009,m1,UV,13.0571952
#009,m3,UV,13.0571952
#022,m6,UV,13.0571952
#263,m1,UV,13.06070399
#263,m2,UV,13.06070399
#303,m2,UV,13.06070399
#317,m3,UV,13.06070399
#022,m1,UV,13.06187169
#131,m1,UV,13.06187169
