,mouse_id,month,treatment,structure_volume,distribution_volume
1,#009,m3,UV,13.00108001,0.000241371
2,#009,m3,UV,13.00108001,0.000241371
3,#131,m1,UV,13.00108001,0.000241371
4,#970,m5,UV,13.00108001,0.000241371
5,#003,m1,UV,13.00229696,0.000362056
6,#022,m3,UV,13.00229696,0.000362056
7,#131,m1,UV,13.00351288,0.000422399
8,#003,m5,UV,13.00472778,0.000543085
9,#258,m1,UV,13.00472778,0.000543085
10,#006,m2,UV,13.00594166,0.000844798
11,#022,m4,UV,13.00594166,0.000844798
12,#131,m1,UV,13.00594166,0.000844798
13,#303,m1,UV,13.00594166,0.000844798
14,#974,m3,UV,13.00594166,0.000844798
15,#003,m1,UV,13.00715452,0.001206855
16,#003,m2,UV,13.00715452,0.001206855
17,#003,m5,UV,13.00715452,0.001206855
18,#009,m4,UV,13.00715452,0.001206855
19,#022,m1,UV,13.00715452,0.001206855
20,#289,m1,UV,13.00715452,0.001206855
21,#006,m5,UV,13.00836636,0.00132754
22,#970,m5,UV,13.00836636,0.00132754
23,#022,m5,UV,13.00957718,0.001508569
24,#131,m1,UV,13.00957718,0.001508569
25,#303,m1,UV,13.00957718,0.001508569
26,#006,m1,UV,13.01078699,0.00174994
27,#022,m6,UV,13.01078699,0.00174994
28,#258,m1,UV,13.01078699,0.00174994
29,#282,m1,UV,13.01078699,0.00174994
30,#006,m6,UV,13.01199578,0.002051653
31,#009,m3,UV,13.01199578,0.002051653
32,#131,m1,UV,13.01199578,0.002051653
33,#263,m2,UV,13.01199578,0.002051653
34,#303,m1,UV,13.01199578,0.002051653
35,#003,m1,UV,13.01320356,0.00241371
36,#006,m5,UV,13.01320356,0.00241371
37,#009,m1,UV,13.01320356,0.00241371
38,#303,m3,UV,13.01320356,0.00241371
39,#317,m3,UV,13.01320356,0.00241371
40,#974,m1,UV,13.01320356,0.00241371
41,#263,m2,UV,13.01441034,0.002594738
42,#289,m2,UV,13.01441034,0.002594738
43,#970,m2,UV,13.01441034,0.002594738
44,#317,m3,UV,13.0156161,0.002715424
45,#970,m1,UV,13.0156161,0.002715424
46,#006,m1,UV,13.01682085,0.002775766
47,#003,m6,UV,13.0180246,0.002956795
48,#022,m5,UV,13.0180246,0.002956795
49,#974,m1,UV,13.0180246,0.002956795
50,#009,m2,UV,13.01922735,0.003258508
51,#022,m3,UV,13.01922735,0.003258508
52,#022,m4,UV,13.01922735,0.003258508
53,#263,m1,UV,13.01922735,0.003258508
54,#970,m3,UV,13.01922735,0.003258508
55,#006,m2,UV,13.0204291,0.003499879
56,#009,m3,UV,13.0204291,0.003499879
57,#009,m2,UV,13.0204291,0.003499879
58,#022,m3,UV,13.0204291,0.003499879
59,#263,m2,UV,13.02162984,0.003620565
60,#970,m5,UV,13.02162984,0.003620565
61,#009,m1,UV,13.02282959,0.00374125
62,#263,m2,UV,13.02282959,0.00374125
63,#022,m4,UV,13.02402834,0.003982621
64,#022,m4,UV,13.02402834,0.003982621
65,#131,m2,UV,13.02402834,0.003982621
66,#263,m1,UV,13.02402834,0.003982621
67,#131,m3,UV,13.02522609,0.00416365
68,#263,m3,UV,13.02522609,0.00416365
69,#974,m2,UV,13.02522609,0.00416365
70,#291,m2,UV,13.02642285,0.004223992
71,#009,m1,UV,13.0288134,0.004344678
72,#263,m1,UV,13.0288134,0.004344678
73,#006,m4,UV,13.03000719,0.004586049
74,#009,m2,UV,13.03000719,0.004586049
75,#258,m1,UV,13.03000719,0.004586049
76,#970,m4,UV,13.03000719,0.004586049
77,#003,m5,UV,13.03119999,0.004646392
78,#006,m6,UV,13.03239181,0.005008448
