month,density,volume_uv,volume_no UV,dx,UV_microns,no_UV_microns,diff,mean_volume
1,0.88,18.72126148,16.91808063,1.80318085,432176.6125,123836.8049,308339.8076,278006.7087
1,0.9,18.96240636,17.26696502,1.69544134,510802.6062,157715.5107,353087.0955,334259.0585
1,0.92,19.25434806,17.71364328,1.54070478,625368.9464,214950.2529,410418.6935,420159.5997
1,0.94,19.55748096,18.21496865,1.34251231,771593.2318,304264.9541,467328.2777,537929.093
1,0.96,19.99678396,18.86475922,1.13202474,1046241.127,477373.5872,568867.5398,761807.3571
1,0.98,20.61866913,19.71265623,0.9060129,1610044.502,859212.9599,750831.5421,1234628.731
2,0.88,18.91628622,18.34187661,0.57440961,494731.4946,332242.3865,162489.1081,413486.9406
2,0.9,19.19545038,18.58312271,0.61232767,600352.5282,392714.8731,207637.6551,496533.7007
2,0.92,19.53008381,18.9069963,0.62308751,757078.728,491556.0145,265522.7135,624317.3713
2,0.94,20.01612448,19.26992054,0.74620394,1060361.29,632155.7568,428205.5332,846258.5234
2,0.96,20.60824798,19.76867223,0.83957575,1598456.421,893230.0308,705226.3902,1245843.226
2,0.98,21.78600745,20.22898125,1.5570262,3616110.803,1228938.464,2387172.339,2422524.634
3,0.88,19.16414047,18.82619579,0.33794468,587463.8149,464782.359,122681.4559,526123.087
3,0.9,19.47068576,19.12820476,0.342481,726541.5405,573011.5755,153529.965,649776.558
3,0.92,19.84409065,19.34150105,0.5025896,941166.6354,664311.8165,276854.8189,802739.226
3,0.94,20.2869192,19.70976085,0.57715835,1279296.459,857490.3138,421806.1452,1068393.386
3,0.96,20.870586,20.08597135,0.78461465,1917222.042,1112960.8,804261.242,1515091.421
3,0.98,22.4380568,20.67745669,1.76060011,5682352.107,1677006.314,4005345.793,3679679.211
