"","mouse_id","month","treatment","clade_volume","ln2volume","density"
"1","#003","m1","No UV",8198.134848,13.00108001,0.000376718779431155
"2","#009","m1","No UV",8198.134848,13.00108001,0.000376718779431155
"3","#970","m1","No UV",8198.134848,13.00108001,0.000376718779431155
"4","#970","m1","No UV",8198.134848,13.00108001,0.000376718779431155
"5","#263","m1","No UV",8211.971363,13.00351288,0.000847617253720098
"6","#974","m1","No UV",8211.971363,13.00351288,0.000847617253720098
"7","#970","m1","No UV",8218.88962,13.00472778,0.000847617253720098
"8","#974","m1","No UV",8225.807877,13.00594166,0.000847617253720098
"9","#022","m1","No UV",8239.644392,13.00836636,0.000847617253720098
"10","#282","m1","No UV",8239.644392,13.00836636,0.000941796948577887
"11","#003","m1","No UV",8246.562649,13.00957718,0.00103597664343568
"12","#303","m1","No UV",8246.562649,13.00957718,0.00113015633829346
"13","#006","m1","No UV",8267.317421,13.01320356,0.00150687511772462
"14","#263","m1","No UV",8267.317421,13.01320356,0.00150687511772462
"15","#281","m1","No UV",8274.235678,13.01441034,0.00150687511772462
"16","#317","m1","No UV",8274.235678,13.01441034,0.00150687511772462
"17","#003","m1","No UV",8281.153935,13.0156161,0.00188359389715577
"18","#009","m1","No UV",8288.072193,13.01682085,0.00188359389715577
"19","#009","m1","No UV",8288.072193,13.01682085,0.00188359389715577
"20","#009","m1","No UV",8294.99045,13.0180246,0.00188359389715577
"21","#131","m1","No UV",8301.908707,13.01922735,0.00197777359201356
"22","#263","m1","No UV",8301.908707,13.01922735,0.00235449237144472
"23","#303","m1","No UV",8301.908707,13.01922735,0.00235449237144472
"24","#003","m1","No UV",8308.826964,13.0204291,0.00235449237144472
"25","#282","m1","No UV",8315.745222,13.02162984,0.00235449237144472
"26","#289","m1","No UV",8315.745222,13.02162984,0.00254285176116029
"27","#317","m1","No UV",8315.745222,13.02162984,0.00254285176116029
"28","#022","m1","No UV",8322.663479,13.02282959,0.00273121115087587
"29","#263","m1","No UV",8329.581736,13.02402834,0.00273121115087587
"30","#006","m1","No UV",8336.499993,13.02522609,0.00301375023544924
"31","#003","m1","No UV",8343.418251,13.02642285,0.00301375023544924
"32","#281","m1","No UV",8343.418251,13.02642285,0.00301375023544924
"33","#303","m1","No UV",8357.254765,13.0288134,0.0032962893200226
"34","#970","m1","No UV",8357.254765,13.0288134,0.0032962893200226
"35","#003","m1","No UV",8364.173022,13.03000719,0.0032962893200226
"36","#282","m1","No UV",8364.173022,13.03000719,0.00357882840459597
"37","#970","m1","No UV",8364.173022,13.03000719,0.00357882840459597
"38","#003","m1","No UV",8371.09128,13.03119999,0.00357882840459597
"39","#022","m1","No UV",8371.09128,13.03119999,0.00367300809945376
