"","mouse_id","month","treatment","clade_volume","ln2volume","density"
"1","#131","m1","UV",8198.134848,13.00108001,0.00018677624206201
"2","#003","m1","UV",8205.053106,13.00229696,0.000373552484124019
"3","#131","m1","UV",8211.971363,13.00351288,0.000560328726186029
"4","#131","m1","UV",8225.807877,13.00594166,0.000933881210310049
"5","#303","m1","UV",8225.807877,13.00594166,0.000933881210310049
"6","#003","m1","UV",8232.726135,13.00715452,0.00149420993649608
"7","#022","m1","UV",8232.726135,13.00715452,0.00149420993649608
"8","#289","m1","UV",8232.726135,13.00715452,0.00149420993649608
"9","#131","m1","UV",8246.562649,13.00957718,0.0018677624206201
"10","#303","m1","UV",8246.562649,13.00957718,0.0018677624206201
"11","#006","m1","UV",8253.480906,13.01078699,0.00224131490474412
"12","#282","m1","UV",8253.480906,13.01078699,0.00224131490474412
"13","#131","m1","UV",8260.399164,13.01199578,0.00261486738886814
"14","#303","m1","UV",8260.399164,13.01199578,0.00261486738886814
"15","#003","m1","UV",8267.317421,13.01320356,0.00317519611505416
"16","#009","m1","UV",8267.317421,13.01320356,0.00317519611505416
"17","#974","m1","UV",8267.317421,13.01320356,0.00317519611505416
"18","#970","m1","UV",8281.153935,13.0156161,0.00336197235711617
"19","#006","m1","UV",8288.072193,13.01682085,0.00354874859917818
"20","#974","m1","UV",8294.99045,13.0180246,0.00373552484124019
"21","#263","m1","UV",8301.908707,13.01922735,0.0039223010833022
"22","#009","m1","UV",8322.663479,13.02282959,0.00410907732536421
"23","#263","m1","UV",8329.581736,13.02402834,0.00429585356742622
"24","#009","m1","UV",8357.254765,13.0288134,0.00466940605155024
"25","#263","m1","UV",8357.254765,13.0288134,0.00466940605155024
"26","#263","m1","UV",8378.009537,13.03239181,0.00504295853567426
"27","#263","m1","UV",8378.009537,13.03239181,0.00504295853567426
"28","#263","m1","UV",8384.927794,13.03358264,0.00522973477773627
"29","#003","m1","UV",8405.682566,13.03714926,0.00560328726186029
"30","#281","m1","UV",8405.682566,13.03714926,0.00560328726186029
"31","#263","m1","UV",8426.437338,13.04070708,0.0057900635039223
"32","#022","m1","UV",8433.355595,13.04189107,0.00616361598804632
"33","#022","m1","UV",8433.355595,13.04189107,0.00616361598804632
"34","#289","m1","UV",8447.192109,13.04425615,0.00635039223010833
"35","#006","m1","UV",8461.028624,13.04661735,0.00672394471423235
"36","#282","m1","UV",8461.028624,13.04661735,0.00672394471423235
"37","#006","m1","UV",8474.865139,13.0489747,0.00709749719835637
"38","#970","m1","UV",8474.865139,13.0489747,0.00709749719835637
"39","#263","m1","UV",8481.783396,13.05015193,0.00728427344041838
"40","#263","m1","UV",8502.538168,13.05367786,0.00747104968248039
"41","#022","m1","UV",8516.374682,13.05602371,0.00803137840866642
"42","#263","m1","UV",8516.374682,13.05602371,0.00803137840866642
"43","#282","m1","UV",8516.374682,13.05602371,0.00803137840866642
"44","#009","m1","UV",8523.292939,13.0571952,0.00821815465072843
"45","#263","m1","UV",8544.047711,13.06070399,0.00840493089279044
"46","#022","m1","UV",8550.965968,13.06187169,0.00896525961897647
"47","#131","m1","UV",8550.965968,13.06187169,0.00896525961897647
"48","#970","m1","UV",8550.965968,13.06187169,0.00896525961897647
"49","#003","m1","UV",8564.802483,13.06420426,0.00915203586103848
"50","#974","m1","UV",8571.72074,13.06536913,0.00933881210310048
"51","#303","m1","UV",8578.638997,13.06653307,0.0095255883451625
"52","#006","m1","UV",8585.557255,13.06769606,0.00989914082928652
"53","#263","m1","UV",8585.557255,13.06769606,0.00989914082928652
"54","#022","m1","UV",8592.475512,13.06885812,0.0102726933134105
"55","#291","m1","UV",8592.475512,13.06885812,0.0102726933134105
"56","#282","m1","UV",8599.393769,13.07001924,0.0106462457975346
"57","#289","m1","UV",8599.393769,13.07001924,0.0106462457975346
"58","#263","m1","UV",8620.148541,13.07349701,0.0108330220395966
"59","#003","m1","UV",8627.066798,13.07465441,0.0110197982816586
"60","#006","m1","UV",8647.82157,13.07812104,0.0112065745237206
"61","#022","m1","UV",8654.739827,13.07927474,0.0115801270078446
"62","#282","m1","UV",8654.739827,13.07927474,0.0115801270078446
"63","#006","m1","UV",8675.494599,13.08273029,0.0117669032499066
"64","#131","m1","UV",8703.167628,13.08732487,0.0121404557340306
"65","#970","m1","UV",8703.167628,13.08732487,0.0121404557340306
"66","#263","m1","UV",8717.004142,13.08961668,0.0125140082181547
"67","#974","m1","UV",8717.004142,13.08961668,0.0125140082181547
"68","#022","m1","UV",8730.840657,13.09190486,0.0127007844602167
"69","#970","m1","UV",8737.758914,13.09304759,0.0128875607022787
"70","#022","m1","UV",8772.350201,13.09874769,0.0130743369443407
"71","#022","m1","UV",8779.268458,13.09988502,0.0134478894284647
"72","#282","m1","UV",8779.268458,13.09988502,0.0134478894284647
"73","#970","m1","UV",8786.186715,13.10102144,0.0136346656705267
"74","#282","m1","UV",8793.104972,13.10215698,0.0140082181546507
"75","#317","m1","UV",8793.104972,13.10215698,0.0140082181546507
"76","#281","m1","UV",8841.532773,13.11008078,0.0145685468808368
"77","#282","m1","UV",8841.532773,13.11008078,0.0145685468808368
"78","#282","m1","UV",8841.532773,13.11008078,0.0145685468808368
"79","#003","m1","UV",8848.45103,13.11120921,0.0147553231228988
"80","#003","m1","UV",8855.369288,13.11233676,0.0149420993649608
"81","#263","m1","UV",8876.124059,13.11571412,0.0151288756070228
"82","#003","m1","UV",8889.960574,13.11796131,0.0156892043332088
"83","#003","m1","UV",8889.960574,13.11796131,0.0156892043332088
"84","#282","m1","UV",8889.960574,13.11796131,0.0156892043332088
"85","#131","m1","UV",8896.878831,13.11908359,0.0158759805752708
"86","#003","m1","UV",8910.715346,13.12132554,0.0162495330593948
"87","#289","m1","UV",8910.715346,13.12132554,0.0162495330593948
"88","#317","m1","UV",8917.633603,13.12244521,0.0164363093014569
"89","#003","m1","UV",8924.55186,13.12356401,0.0169966380276429
"90","#289","m1","UV",8924.55186,13.12356401,0.0169966380276429
"91","#974","m1","UV",8924.55186,13.12356401,0.0169966380276429
"92","#263","m1","UV",8938.388375,13.12579902,0.0171834142697049
"93","#282","m1","UV",8959.143146,13.12914504,0.0173701905117669
"94","#009","m1","UV",8966.061404,13.13025866,0.0177437429958909
"95","#303","m1","UV",8966.061404,13.13025866,0.0177437429958909
"96","#970","m1","UV",8979.897918,13.13248333,0.0179305192379529
"97","#022","m1","UV",8986.816175,13.13359438,0.018490847964139
"98","#281","m1","UV",8986.816175,13.13359438,0.018490847964139
"99","#289","m1","UV",8986.816175,13.13359438,0.018490847964139
"100","#281","m1","UV",8993.734433,13.13470457,0.018677624206201
"101","#022","m1","UV",9000.65269,13.13581391,0.019051176690325
"102","#289","m1","UV",9000.65269,13.13581391,0.019051176690325
"103","#289","m1","UV",9007.570947,13.13692239,0.019424729174449
"104","#974","m1","UV",9007.570947,13.13692239,0.019424729174449
"105","#006","m1","UV",9021.407462,13.13913682,0.019611505416511
"106","#022","m1","UV",9028.325719,13.14024275,0.019985057900635
"107","#281","m1","UV",9028.325719,13.14024275,0.019985057900635
"108","#317","m1","UV",9069.835263,13.14686063,0.020171834142697
"109","#009","m1","UV",9097.508292,13.15125575,0.0205453866268211
"110","#281","m1","UV",9097.508292,13.15125575,0.0205453866268211
"111","#282","m1","UV",9104.426549,13.15235244,0.0211057153530071
"112","#291","m1","UV",9104.426549,13.15235244,0.0211057153530071
"113","#303","m1","UV",9104.426549,13.15235244,0.0211057153530071
"114","#022","m1","UV",9118.263063,13.15454332,0.0214792678371311
"115","#974","m1","UV",9118.263063,13.15454332,0.0214792678371311
"116","#003","m1","UV",9132.099578,13.15673088,0.0218528203212551
"117","#263","m1","UV",9132.099578,13.15673088,0.0218528203212551
"118","#282","m1","UV",9152.85435,13.16000601,0.0220395965633171
"119","#131","m1","UV",9159.772607,13.16109607,0.0224131490474412
"120","#974","m1","UV",9159.772607,13.16109607,0.0224131490474412
"121","#006","m1","UV",9166.690864,13.16218531,0.0227867015315652
"122","#289","m1","UV",9166.690864,13.16218531,0.0227867015315652
"123","#291","m1","UV",9180.527379,13.16436132,0.0229734777736272
"124","#282","m1","UV",9187.445636,13.16544809,0.0233470302577512
"125","#303","m1","UV",9187.445636,13.16544809,0.0233470302577512
"126","#282","m1","UV",9208.200408,13.16870352,0.0235338064998132
"127","#282","m1","UV",9222.036922,13.17086973,0.0240941352259993
"128","#289","m1","UV",9222.036922,13.17086973,0.0240941352259993
"129","#303","m1","UV",9222.036922,13.17086973,0.0240941352259993
"130","#970","m1","UV",9263.546466,13.17734891,0.0242809114680613
"131","#131","m1","UV",9277.38298,13.17950218,0.0244676877101233
"132","#303","m1","UV",9284.301237,13.18057762,0.0246544639521853
"133","#006","m1","UV",9291.219495,13.18165225,0.0248412401942473
"134","#006","m1","UV",9305.056009,13.18379912,0.0254015689204333
"135","#263","m1","UV",9305.056009,13.18379912,0.0254015689204333
"136","#303","m1","UV",9305.056009,13.18379912,0.0254015689204333
"137","#282","m1","UV",9311.974266,13.18487136,0.0255883451624953
"138","#291","m1","UV",9339.647296,13.18915235,0.0257751214045573
"139","#009","m1","UV",9353.48381,13.1912881,0.0263354501307434
"140","#009","m1","UV",9353.48381,13.1912881,0.0263354501307434
"141","#289","m1","UV",9353.48381,13.1912881,0.0263354501307434
"142","#263","m1","UV",9367.320325,13.19342069,0.0265222263728054
"143","#003","m1","UV",9381.156839,13.19555012,0.0267090026148674
"144","#003","m1","UV",9388.075096,13.19661367,0.0268957788569294
"145","#003","m1","UV",9408.829868,13.1997996,0.0272693313410534
"146","#282","m1","UV",9408.829868,13.1997996,0.0272693313410534
"147","#131","m1","UV",9422.666383,13.20191965,0.0280164363093015
"148","#131","m1","UV",9422.666383,13.20191965,0.0280164363093015
"149","#289","m1","UV",9422.666383,13.20191965,0.0280164363093015
"150","#303","m1","UV",9422.666383,13.20191965,0.0280164363093015
"151","#282","m1","UV",9429.58464,13.20297851,0.0283899887934255
"152","#289","m1","UV",9429.58464,13.20297851,0.0283899887934255
"153","#303","m1","UV",9436.502897,13.20403659,0.0285767650354875
"154","#003","m1","UV",9443.421154,13.2050939,0.0289503175196115
"155","#131","m1","UV",9443.421154,13.2050939,0.0289503175196115
"156","#003","m1","UV",9450.339412,13.20615043,0.0293238700037355
"157","#303","m1","UV",9450.339412,13.20615043,0.0293238700037355
"158","#974","m1","UV",9484.930698,13.21142152,0.0295106462457975
"159","#282","m1","UV",9519.521984,13.21667342,0.0296974224878595
"160","#317","m1","UV",9533.358499,13.21876883,0.0298841987299216
"161","#303","m1","UV",9540.276756,13.2198154,0.0300709749719836
