mouse_id,month,treatment,clade_volume,ln2volume
#006,m2,UV,8225.807877,13.00594166
#003,m2,UV,8232.726135,13.00715452
#263,m2,UV,8260.399164,13.01199578
#263,m2,UV,8274.235678,13.01441034
#289,m2,UV,8274.235678,13.01441034
#970,m2,UV,8274.235678,13.01441034
#009,m2,UV,8301.908707,13.01922735
#006,m2,UV,8308.826964,13.0204291
#009,m2,UV,8308.826964,13.0204291
#263,m2,UV,8315.745222,13.02162984
#263,m2,UV,8322.663479,13.02282959
#131,m2,UV,8329.581736,13.02402834
#974,m2,UV,8336.499993,13.02522609
#291,m2,UV,8343.418251,13.02642285
#009,m2,UV,8364.173022,13.03000719
#974,m2,UV,8378.009537,13.03239181
#289,m2,UV,8384.927794,13.03358264
#003,m2,UV,8391.846051,13.0347725
#291,m2,UV,8391.846051,13.0347725
#282,m2,UV,8398.764309,13.03596137
#003,m2,UV,8447.192109,13.04425615
#281,m2,UV,8474.865139,13.0489747
#289,m2,UV,8474.865139,13.0489747
#006,m2,UV,8481.783396,13.05015193
#974,m2,UV,8509.456425,13.05485126
#263,m2,UV,8544.047711,13.06070399
#303,m2,UV,8544.047711,13.06070399
#131,m2,UV,8571.72074,13.06536913
#974,m2,UV,8571.72074,13.06536913
#006,m2,UV,8578.638997,13.06653307
#970,m2,UV,8578.638997,13.06653307
#009,m2,UV,8585.557255,13.06769606
#282,m2,UV,8585.557255,13.06769606
#974,m2,UV,8585.557255,13.06769606
#974,m2,UV,8592.475512,13.06885812
#131,m2,UV,8620.148541,13.07349701
#003,m2,UV,8627.066798,13.07465441
#282,m2,UV,8627.066798,13.07465441
#003,m2,UV,8633.985055,13.07581088
#006,m2,UV,8647.82157,13.07812104
#974,m2,UV,8668.576342,13.08157936
#974,m2,UV,8689.331113,13.08502941
#970,m2,UV,8710.085885,13.08847123
#003,m2,UV,8717.004142,13.08961668
#009,m2,UV,8723.9224,13.09076122
#003,m2,UV,8772.350201,13.09874769
#022,m2,UV,8779.268458,13.09988502
#289,m2,UV,8779.268458,13.09988502
#282,m2,UV,8800.02323,13.10329162
#289,m2,UV,8800.02323,13.10329162
#317,m2,UV,8827.696259,13.10782128
#281,m2,UV,8848.45103,13.11120921
#009,m2,UV,8855.369288,13.11233676
#263,m2,UV,8855.369288,13.11233676
#009,m2,UV,8869.205802,13.11458921
#009,m2,UV,8876.124059,13.11571412
#282,m2,UV,8889.960574,13.11796131
#289,m2,UV,8917.633603,13.12244521
#282,m2,UV,8986.816175,13.13359438
#974,m2,UV,8986.816175,13.13359438
#303,m2,UV,9007.570947,13.13692239
#974,m2,UV,9007.570947,13.13692239
#131,m2,UV,9021.407462,13.13913682
#282,m2,UV,9021.407462,13.13913682
#970,m2,UV,9028.325719,13.14024275
#003,m2,UV,9035.243976,13.14134784
#131,m2,UV,9035.243976,13.14134784
#022,m2,UV,9049.080491,13.14355549
#006,m2,UV,9069.835263,13.14686063
#003,m2,UV,9083.671777,13.14905986
#009,m2,UV,9083.671777,13.14905986
#970,m2,UV,9090.590034,13.15015822
#003,m2,UV,9118.263063,13.15454332
#009,m2,UV,9118.263063,13.15454332
#974,m2,UV,9125.181321,13.15563751
#282,m2,UV,9132.099578,13.15673088
#303,m2,UV,9132.099578,13.15673088
#006,m2,UV,9139.017835,13.15782341
#970,m2,UV,9159.772607,13.16109607
#131,m2,UV,9173.609121,13.16327372
#006,m2,UV,9194.363893,13.16653405
#282,m2,UV,9208.200408,13.16870352
#003,m2,UV,9215.118665,13.16978703
#006,m2,UV,9215.118665,13.16978703
#263,m2,UV,9228.955179,13.17195161
#003,m2,UV,9235.873437,13.17303269
#282,m2,UV,9242.791694,13.17411295
#006,m2,UV,9270.464723,13.17842595
#974,m2,UV,9277.38298,13.17950218
#009,m2,UV,9291.219495,13.18165225
#003,m2,UV,9360.402067,13.19235479
#009,m2,UV,9360.402067,13.19235479
#263,m2,UV,9422.666383,13.20191965
#009,m2,UV,9429.58464,13.20297851
#263,m2,UV,9436.502897,13.20403659
#006,m2,UV,9443.421154,13.2050939
#006,m2,UV,9450.339412,13.20615043
#291,m2,UV,9450.339412,13.20615043
#009,m2,UV,9457.257669,13.20720619
#022,m2,UV,9484.930698,13.21142152
#263,m2,UV,9505.68547,13.21457495
#281,m2,UV,9519.521984,13.21667342
#006,m2,UV,9547.195013,13.22086121
#022,m2,UV,9547.195013,13.22086121
#291,m2,UV,9547.195013,13.22086121
#974,m2,UV,9567.949785,13.2239941
#131,m2,UV,9581.786299,13.22607892
#009,m2,UV,9609.459328,13.23023955
#022,m2,UV,9609.459328,13.23023955
#974,m2,UV,9650.968872,13.23645807
#003,m2,UV,9685.560158,13.24161977
#022,m2,UV,9706.31493,13.24470796
#974,m2,UV,9706.31493,13.24470796
#022,m2,UV,9720.151445,13.24676308
#003,m2,UV,9768.579245,13.25393303
#974,m2,UV,9768.579245,13.25393303
#009,m2,UV,9817.007046,13.26106754
#009,m2,UV,9858.51659,13.26715487
#974,m2,UV,9865.434847,13.26816693
#006,m2,UV,9872.353104,13.26917828
#317,m2,UV,9872.353104,13.26917828
#022,m2,UV,9893.107876,13.27220809
#022,m2,UV,9934.61742,13.2782487
#009,m2,UV,9941.535677,13.27925301
