,mouse_id,month,treatment,clade_volume,ln2volume,density
1,#006,m3,No UV,8211.971363,13.00351288,0.000838223
2,#289,m3,No UV,8211.971363,13.00351288,0.000838223
3,#303,m3,No UV,8211.971363,13.00351288,0.000838223
4,#003,m3,No UV,8232.726135,13.00715452,0.001117631
5,#009,m3,No UV,8239.644392,13.00836636,0.001676446
6,#263,m3,No UV,8239.644392,13.00836636,0.001676446
7,#131,m3,No UV,8246.562649,13.00957718,0.002235261
8,#291,m3,No UV,8246.562649,13.00957718,0.002235261
9,#003,m3,No UV,8253.480906,13.01078699,0.002514669
10,#263,m3,No UV,8267.317421,13.01320356,0.003073484
11,#289,m3,No UV,8267.317421,13.01320356,0.003073484
12,#009,m3,No UV,8281.153935,13.0156161,0.003352892
13,#009,m3,No UV,8288.072193,13.01682085,0.0036323
14,#009,m3,No UV,8294.99045,13.0180246,0.004191115
15,#291,m3,No UV,8294.99045,13.0180246,0.004191115
16,#303,m3,No UV,8315.745222,13.02162984,0.004470522
17,#131,m3,No UV,8322.663479,13.02282959,0.00474993
18,#022,m3,No UV,8329.581736,13.02402834,0.005308745
19,#131,m3,No UV,8329.581736,13.02402834,0.005308745
20,#291,m3,No UV,8343.418251,13.02642285,0.005588153
21,#317,m3,No UV,8350.336508,13.02761862,0.006146968
22,#317,m3,No UV,8350.336508,13.02761862,0.006146968
23,#022,m3,No UV,8378.009537,13.03239181,0.006426376
24,#022,m3,No UV,8384.927794,13.03358264,0.006985191
25,#289,m3,No UV,8384.927794,13.03358264,0.006985191
26,#289,m3,No UV,8391.846051,13.0347725,0.007544007
27,#317,m3,No UV,8391.846051,13.0347725,0.007544007
28,#009,m3,No UV,8398.764309,13.03596137,0.00838223
29,#291,m3,No UV,8398.764309,13.03596137,0.00838223
30,#317,m3,No UV,8398.764309,13.03596137,0.00838223
31,#003,m3,No UV,8419.51908,13.03952211,0.008941045
32,#009,m3,No UV,8419.51908,13.03952211,0.008941045
33,#006,m3,No UV,8426.437338,13.04070708,0.00949986
34,#970,m3,No UV,8426.437338,13.04070708,0.00949986
35,#009,m3,No UV,8433.355595,13.04189107,0.010617491
36,#009,m3,No UV,8433.355595,13.04189107,0.010617491
37,#281,m3,No UV,8433.355595,13.04189107,0.010617491
38,#289,m3,No UV,8433.355595,13.04189107,0.010617491
39,#974,m3,No UV,8440.273852,13.04307409,0.011176306
40,#974,m3,No UV,8440.273852,13.04307409,0.011176306
41,#317,m3,No UV,8454.110367,13.04543723,0.011455714
