mouse_id,month,treatment,clade_volume,ln2volume
#006,m3,No UV,8211.971363,13.00351288
#289,m3,No UV,8211.971363,13.00351288
#303,m3,No UV,8211.971363,13.00351288
#003,m3,No UV,8232.726135,13.00715452
#009,m3,No UV,8239.644392,13.00836636
#263,m3,No UV,8239.644392,13.00836636
#131,m3,No UV,8246.562649,13.00957718
#291,m3,No UV,8246.562649,13.00957718
#003,m3,No UV,8253.480906,13.01078699
#263,m3,No UV,8267.317421,13.01320356
#289,m3,No UV,8267.317421,13.01320356
#009,m3,No UV,8281.153935,13.0156161
#009,m3,No UV,8288.072193,13.01682085
#009,m3,No UV,8294.99045,13.0180246
#291,m3,No UV,8294.99045,13.0180246
#303,m3,No UV,8315.745222,13.02162984
#131,m3,No UV,8322.663479,13.02282959
#022,m3,No UV,8329.581736,13.02402834
#131,m3,No UV,8329.581736,13.02402834
#291,m3,No UV,8343.418251,13.02642285
#317,m3,No UV,8350.336508,13.02761862
#317,m3,No UV,8350.336508,13.02761862
#022,m3,No UV,8378.009537,13.03239181
#022,m3,No UV,8384.927794,13.03358264
#289,m3,No UV,8384.927794,13.03358264
#289,m3,No UV,8391.846051,13.0347725
#317,m3,No UV,8391.846051,13.0347725
#009,m3,No UV,8398.764309,13.03596137
#291,m3,No UV,8398.764309,13.03596137
#317,m3,No UV,8398.764309,13.03596137
#003,m3,No UV,8419.51908,13.03952211
#009,m3,No UV,8419.51908,13.03952211
#006,m3,No UV,8426.437338,13.04070708
#970,m3,No UV,8426.437338,13.04070708
#009,m3,No UV,8433.355595,13.04189107
#009,m3,No UV,8433.355595,13.04189107
#281,m3,No UV,8433.355595,13.04189107
#289,m3,No UV,8433.355595,13.04189107
#974,m3,No UV,8440.273852,13.04307409
#974,m3,No UV,8440.273852,13.04307409
#317,m3,No UV,8454.110367,13.04543723
#009,m3,No UV,8467.946881,13.0477965
#291,m3,No UV,8488.701653,13.0513282
#003,m3,No UV,8495.61991,13.05250351
#282,m3,No UV,8502.538168,13.05367786
#317,m3,No UV,8502.538168,13.05367786
#291,m3,No UV,8516.374682,13.05602371
#022,m3,No UV,8530.211197,13.05836575
#009,m3,No UV,8557.884226,13.06303845
#289,m3,No UV,8564.802483,13.06420426
#974,m3,No UV,8564.802483,13.06420426
#006,m3,No UV,8578.638997,13.06653307
#291,m3,No UV,8606.312026,13.07117943
#317,m3,No UV,8613.230284,13.07233869
#003,m3,No UV,8627.066798,13.07465441
#009,m3,No UV,8633.985055,13.07581088
#009,m3,No UV,8647.82157,13.07812104
#317,m3,No UV,8654.739827,13.07927474
#289,m3,No UV,8668.576342,13.08157936
#291,m3,No UV,8668.576342,13.08157936
#131,m3,No UV,8675.494599,13.08273029
#291,m3,No UV,8675.494599,13.08273029
#003,m3,No UV,8696.249371,13.0861776
#317,m3,No UV,8710.085885,13.08847123
#009,m3,No UV,8723.9224,13.09076122
#291,m3,No UV,8744.677172,13.09418941
#317,m3,No UV,8744.677172,13.09418941
#006,m3,No UV,8758.513686,13.09647035
#022,m3,No UV,8758.513686,13.09647035
#303,m3,No UV,8765.431943,13.09760947
#006,m3,No UV,8772.350201,13.09874769
#009,m3,No UV,8772.350201,13.09874769
#974,m3,No UV,8772.350201,13.09874769
#317,m3,No UV,8779.268458,13.09988502
#131,m3,No UV,8786.186715,13.10102144
#131,m3,No UV,8786.186715,13.10102144
#303,m3,No UV,8786.186715,13.10102144
#003,m3,No UV,8793.104972,13.10215698
#289,m3,No UV,8800.02323,13.10329162
#303,m3,No UV,8834.614516,13.10895147
#974,m3,No UV,8841.532773,13.11008078
#131,m3,No UV,8848.45103,13.11120921
#003,m3,No UV,8855.369288,13.11233676
#303,m3,No UV,8862.287545,13.11346342
#009,m3,No UV,8869.205802,13.11458921
#009,m3,No UV,8869.205802,13.11458921
#131,m3,No UV,8876.124059,13.11571412
#291,m3,No UV,8876.124059,13.11571412
#303,m3,No UV,8876.124059,13.11571412
#009,m3,No UV,8883.042317,13.11683815
#291,m3,No UV,8883.042317,13.11683815
#291,m3,No UV,8896.878831,13.11908359
#022,m3,No UV,8903.797088,13.120205
#289,m3,No UV,8917.633603,13.12244521
#291,m3,No UV,8924.55186,13.12356401
#291,m3,No UV,8938.388375,13.12579902
#317,m3,No UV,8938.388375,13.12579902
#291,m3,No UV,8952.224889,13.12803056
#009,m3,No UV,8966.061404,13.13025866
#131,m3,No UV,8979.897918,13.13248333
#303,m3,No UV,8986.816175,13.13359438
#131,m3,No UV,8993.734433,13.13470457
#291,m3,No UV,8993.734433,13.13470457
#303,m3,No UV,8993.734433,13.13470457
#303,m3,No UV,8993.734433,13.13470457
#289,m3,No UV,9000.65269,13.13581391
#281,m3,No UV,9014.489204,13.13803003
#006,m3,No UV,9021.407462,13.13913682
#263,m3,No UV,9028.325719,13.14024275
#131,m3,No UV,9035.243976,13.14134784
#009,m3,No UV,9042.162234,13.14245209
#291,m3,No UV,9042.162234,13.14245209
#009,m3,No UV,9062.917005,13.14575976
#291,m3,No UV,9076.75352,13.14796067
#003,m3,No UV,9097.508292,13.15125575
#263,m3,No UV,9104.426549,13.15235244
#009,m3,No UV,9111.344806,13.15344829
#022,m3,No UV,9111.344806,13.15344829
#022,m3,No UV,9111.344806,13.15344829
#009,m3,No UV,9118.263063,13.15454332
#970,m3,No UV,9132.099578,13.15673088
#006,m3,No UV,9139.017835,13.15782341
#289,m3,No UV,9145.936092,13.15891512
#291,m3,No UV,9166.690864,13.16218531
#317,m3,No UV,9173.609121,13.16327372
#009,m3,No UV,9180.527379,13.16436132
#291,m3,No UV,9180.527379,13.16436132
#291,m3,No UV,9201.28215,13.16761919
#291,m3,No UV,9201.28215,13.16761919
#003,m3,No UV,9208.200408,13.16870352
#317,m3,No UV,9215.118665,13.16978703
#317,m3,No UV,9215.118665,13.16978703
#282,m3,No UV,9222.036922,13.17086973
#289,m3,No UV,9235.873437,13.17303269
#006,m3,No UV,9249.709951,13.17519241
#974,m3,No UV,9256.628208,13.17627106
#291,m3,No UV,9263.546466,13.17734891
#317,m3,No UV,9263.546466,13.17734891
#009,m3,No UV,9270.464723,13.17842595
#974,m3,No UV,9277.38298,13.17950218
#317,m3,No UV,9284.301237,13.18057762
#974,m3,No UV,9284.301237,13.18057762
#317,m3,No UV,9291.219495,13.18165225
#022,m3,No UV,9305.056009,13.18379912
#970,m3,No UV,9318.892524,13.1859428
#009,m3,No UV,9332.729038,13.18808329
#303,m3,No UV,9339.647296,13.18915235
#009,m3,No UV,9353.48381,13.1912881
#303,m3,No UV,9367.320325,13.19342069
#303,m3,No UV,9401.911611,13.1987384
#974,m3,No UV,9429.58464,13.20297851
#003,m3,No UV,9443.421154,13.2050939
#006,m3,No UV,9443.421154,13.2050939
#009,m3,No UV,9443.421154,13.2050939
#006,m3,No UV,9457.257669,13.20720619
#006,m3,No UV,9464.175926,13.20826118
#289,m3,No UV,9505.68547,13.21457495
#131,m3,No UV,9519.521984,13.21667342
#303,m3,No UV,9519.521984,13.21667342
#974,m3,No UV,9519.521984,13.21667342
#289,m3,No UV,9533.358499,13.21876883
#317,m3,No UV,9540.276756,13.2198154
#317,m3,No UV,9547.195013,13.22086121
#009,m3,No UV,9561.031528,13.22295056
#022,m3,No UV,9561.031528,13.22295056
#006,m3,No UV,9567.949785,13.2239941
#970,m3,No UV,9581.786299,13.22607892
#970,m3,No UV,9588.704557,13.2271202
#263,m3,No UV,9595.622814,13.22816073
#303,m3,No UV,9595.622814,13.22816073
#003,m3,No UV,9630.2141,13.23335216
#263,m3,No UV,9644.050615,13.23542351
#003,m3,No UV,9650.968872,13.23645807
#289,m3,No UV,9657.887129,13.23749189
#131,m3,No UV,9671.723644,13.23955731
#282,m3,No UV,9671.723644,13.23955731
#022,m3,No UV,9678.641901,13.24058891
#291,m3,No UV,9678.641901,13.24058891
#291,m3,No UV,9678.641901,13.24058891
