,mouse_id,month,treatment,clade_volume,ln2volume
1,#003,m1,UV,21418.92446,14.38659842
2,#003,m1,UV,4462386.622,22.08938408
3,#003,m1,UV,596637.424,19.18649495
4,#003,m1,UV,10667.95269,13.38099571
5,#003,m1,UV,843750.6549,19.68645719
6,#003,m1,UV,246158.5114,17.9092281
7,#003,m1,UV,102528.5725,16.64566649
8,#003,m1,UV,228032.6774,17.79888105
9,#003,m1,UV,120481.4501,16.87845151
10,#003,m1,UV,120363.8397,16.87704251
11,#003,m1,UV,31332.78711,14.93538549
12,#003,m1,UV,21744.08256,14.40833522
13,#003,m1,UV,214915.6617,17.7134111
14,#003,m1,UV,592085.2107,19.17544529
15,#003,m1,UV,512788.1461,18.96800339
16,#003,m1,UV,106375.1236,16.69880128
17,#003,m1,UV,29250.39168,14.83616832
18,#003,m1,UV,14908.84439,13.86388082
19,#003,m1,UV,33401.34603,15.02761862
20,#003,m1,UV,11089.96638,13.43696737
21,#003,m1,UV,33636.56678,15.03774284
22,#003,m1,UV,13428.33733,13.71299306
23,#003,m1,UV,94420.37503,16.52681059
24,#003,m1,UV,50454.85017,15.62270534
25,#003,m1,UV,105012.2269,16.68019779
26,#003,m1,UV,29333.41077,14.84025721
27,#003,m1,UV,10723.29875,13.38846116
28,#003,m1,UV,11913.239,13.54027809
29,#003,m1,UV,32474.29956,14.98701079
30,#003,m1,UV,12985.56887,13.6646216
31,#003,m1,UV,8405.682566,13.03714926
32,#003,m1,UV,53720.26759,15.71317887
33,#003,m1,UV,71237.29496,16.12034511
34,#003,m1,UV,34162.35433,15.06011978
35,#003,m1,UV,8627.066798,13.07465441
36,#003,m1,UV,16465.45227,14.00715452
37,#003,m1,UV,8564.802483,13.06420426
38,#003,m1,UV,39088.1535,15.25444381
39,#003,m1,UV,20395.02239,14.31592947
40,#003,m1,UV,63205.19829,15.9477556
41,#003,m1,UV,27652.27425,14.75511052
42,#003,m1,UV,45909.55515,15.48650683
43,#003,m1,UV,17489.35434,14.09418941
44,#003,m1,UV,2176068.637,21.05329263
45,#003,m1,UV,2176068.637,21.05329263
46,#003,m1,UV,2176068.637,21.05329263
47,#003,m1,UV,1401244.579,20.41827736
48,#003,m1,UV,16444.6975,14.00533485
49,#003,m1,UV,1654376.694,20.65785634
50,#003,m1,UV,53215.23481,15.69955171
51,#003,m1,UV,154194.1177,17.2343882
52,#003,m1,UV,174506.121,17.41291812
53,#003,m1,UV,279725.8956,18.09365429
54,#003,m1,UV,72157.42318,16.1388602
55,#003,m1,UV,327136.7126,18.31953415
56,#003,m1,UV,219073.5343,17.74105568
57,#003,m1,UV,149282.1551,17.18768219
58,#003,m1,UV,33304.49043,15.02342909
59,#003,m1,UV,24656.66886,14.58969028
60,#003,m1,UV,171794.1642,17.3903215
61,#003,m1,UV,36217.07674,15.14438248
62,#003,m1,UV,28219.57135,14.78440845
63,#003,m1,UV,15448.46845,13.9151762
64,#003,m1,UV,247438.389,17.91670982
65,#003,m1,UV,97568.18208,16.57412313
66,#003,m1,UV,99512.21237,16.60258597
67,#003,m1,UV,81075.05678,16.30697051
68,#003,m1,UV,30647.87964,14.90349964
69,#003,m1,UV,69127.2265,16.07696642
70,#003,m1,UV,15856.64563,13.95279999
71,#003,m1,UV,374775.8321,18.5156684
72,#003,m1,UV,57165.55971,15.80285861
73,#003,m1,UV,165872.136,17.33971203
74,#003,m1,UV,27174.9145,14.72998788
75,#003,m1,UV,21176.78546,14.37019599
76,#003,m1,UV,10100.65559,13.30216132
77,#003,m1,UV,122197.1779,16.89885144
78,#003,m1,UV,14161.6726,13.78970405
79,#003,m1,UV,23362.95475,14.51193513
80,#003,m1,UV,12224.56057,13.57749499
81,#003,m1,UV,33228.3896,15.02012875
82,#003,m1,UV,145573.9692,17.15139288
83,#003,m1,UV,80680.71612,16.29993627
84,#003,m1,UV,15988.09252,13.96471021
85,#003,m1,UV,78300.83562,16.25674008
86,#003,m1,UV,274412.6741,18.06598759
87,#003,m1,UV,618692.8281,19.23886378
88,#003,m1,UV,196201.7758,17.58197857
89,#003,m1,UV,145518.6231,17.15084427
90,#003,m1,UV,196782.9094,17.5862454
91,#003,m1,UV,165581.5692,17.33718257
92,#003,m1,UV,27714.53857,14.75835537
93,#003,m1,UV,81566.25305,16.31568476
94,#003,m1,UV,46269.30453,15.49776779
95,#003,m1,UV,133058.8418,17.02170486
96,#003,m1,UV,209754.6417,17.67834321
97,#003,m1,UV,1388259.011,20.40484533
98,#003,m1,UV,723241.5318,19.464118
99,#003,m1,UV,11352.86016,13.47076818
100,#003,m1,UV,161997.9119,17.30561569
101,#003,m1,UV,180608.0239,17.46250246
102,#003,m1,UV,141921.1293,17.11472987
103,#003,m1,UV,44871.81656,15.45352197
104,#003,m1,UV,42374.32569,15.37090279
105,#003,m1,UV,14708.21493,13.84433454
106,#003,m1,UV,29395.67508,14.84331629
107,#003,m1,UV,203431.3546,17.63418253
108,#003,m1,UV,98931.07876,16.59413619
109,#003,m1,UV,32647.25599,14.99467412
110,#003,m1,UV,93036.72358,16.50551267
111,#003,m1,UV,140509.8049,17.10031128
112,#003,m1,UV,30793.16305,14.91032245
113,#003,m1,UV,34522.10371,15.07523276
114,#003,m1,UV,71645.47214,16.12858791
115,#003,m1,UV,112947.468,16.7852924
116,#003,m1,UV,86049.28375,16.39287556
117,#003,m1,UV,27354.78919,14.73950582
118,#003,m1,UV,24919.56264,14.60499113
119,#003,m1,UV,66228.47671,16.01516406
120,#003,m1,UV,18859.16928,14.20297851
121,#003,m1,UV,13227.70787,13.69127547
122,#003,m1,UV,85551.16923,16.38449995
123,#003,m1,UV,108955.6335,16.73338127
124,#003,m1,UV,161548.2252,17.30160538
125,#003,m1,UV,146929.9476,17.16476895
126,#003,m1,UV,16244.06804,13.98762535
127,#003,m1,UV,58597.63896,15.83855492
128,#003,m1,UV,44532.82196,15.44258141
129,#003,m1,UV,12238.39709,13.57912699
130,#003,m1,UV,254771.7417,17.95884574
131,#003,m1,UV,129502.8576,16.98262441
132,#003,m1,UV,173572.1563,17.40517601
133,#003,m1,UV,11242.16804,13.45663266
134,#003,m1,UV,23715.78587,14.53356006
135,#003,m1,UV,10861.66389,13.40695751
136,#003,m1,UV,55768.07174,15.76715177
137,#003,m1,UV,25895.03691,14.66038799
138,#003,m1,UV,26303.21409,14.68295148
139,#003,m1,UV,38700.73109,15.2400732
140,#003,m1,UV,15635.2614,13.93251572
141,#003,m1,UV,24158.55434,14.56024651
142,#003,m1,UV,9893.107876,13.27220809
