mouse,month,treatment,hotspots,ln2volume
#003,1,UV,0,8.697299256
#970,1,UV,0,8.856497851
#282,1,UV,0,9.057195203
#303,1,UV,0,9.584824527
#006,1,UV,0,9.990081007
#258,1,UV,0,10.50465418
#258,1,UV,0,11.3903215
#006,1,UV,0,11.55528025
#009,1,UV,0,12.31004491
#006,1,UV,0,12.75619295
#009,1,UV,0,12.75619295
#022,1,UV,0,12.75619295
#970,1,UV,0,12.75619295
#022,1,UV,0,12.75763492
#258,1,UV,0,12.75763492
#006,1,UV,0,12.75907545
#009,1,UV,0,12.76051455
#970,1,UV,0,12.76051455
#263,1,UV,0,12.76338845
#263,1,UV,0,12.76338845
#317,1,UV,0,12.76338845
#970,1,UV,0,12.76338845
#282,1,UV,0,12.76482325
#003,1,UV,0,12.76768858
#009,1,UV,0,12.76911912
#289,1,UV,0,12.76911912
#009,1,UV,0,12.77054824
#022,1,UV,0,12.77054824
#263,1,UV,0,12.77054824
#289,1,UV,0,12.77054824
#970,1,UV,0,12.77054824
#022,1,UV,0,12.77197594
#281,1,UV,0,12.77197594
#974,1,UV,0,12.77197594
#131,1,UV,0,12.77340224
#009,1,UV,0,12.77482712
#258,1,UV,0,12.77767267
#003,1,UV,0,12.77909335
#131,1,UV,0,12.77909335
#303,1,UV,0,12.78193051
#317,1,UV,0,12.78193051
#009,1,UV,0,12.783347
#281,1,UV,0,12.783347
#291,1,UV,0,12.783347
#303,1,UV,0,12.783347
#003,1,UV,0,12.7847621
#006,1,UV,0,12.7847621
#974,1,UV,0,12.78758814
#263,1,UV,0,12.79040866
#009,1,UV,0,12.79181686
#258,1,UV,0,12.79181686
#009,1,UV,0,12.79462913
#131,1,UV,0,12.79462913
#289,1,UV,0,12.79462913
#006,1,UV,0,12.79603321
#317,1,UV,0,12.79603321
#281,1,UV,0,12.79743593
#009,1,UV,0,12.79883728
#970,1,UV,0,12.79883728
#009,1,UV,0,12.80023728
#022,1,UV,0,12.80023728
#003,1,UV,0,12.8030332
#009,1,UV,0,12.80442913
#974,1,UV,0,12.80582371
#009,1,UV,0,12.80721695
#006,1,UV,0,12.80860884
#289,1,UV,0,12.80860884
#258,1,UV,0,12.80999939
#258,1,UV,0,12.80999939
#006,1,UV,0,12.8113886
#131,1,UV,0,12.8113886
#258,1,UV,0,12.8113886
#282,1,UV,0,12.8113886
#970,1,UV,0,12.81277647
#263,1,UV,0,12.81416301
#282,1,UV,0,12.81554822
#282,1,UV,0,12.81554822
#258,1,UV,0,12.8169321
#303,1,UV,0,12.8169321
#291,1,UV,0,12.81831466
#009,1,UV,0,12.81969589
#009,1,UV,0,12.81969589
#258,1,UV,0,12.81969589
#289,1,UV,0,12.81969589
#009,1,UV,0,12.8210758
#131,1,UV,0,12.8210758
#970,1,UV,0,12.82245439
#022,1,UV,0,12.82520762
#009,1,UV,0,12.82658227
#303,1,UV,0,12.82658227
#258,1,UV,0,12.82795562
