mouse_id,month,treatment,clade_volume,ln2volume
#289,m0,No UV,387.422406,8.597763582
#970,m0,No UV,408.177178,8.67305171
#317,m0,No UV,484.278008,8.919691679
#131,m0,No UV,560.378838,9.130258665
#289,m0,No UV,664.152697,9.375371163
#022,m0,No UV,830.190871,9.697299258
#263,m0,No UV,996.229045,9.960333663
#974,m0,No UV,1010.065559,9.98023322
#291,m0,No UV,1397.487966,10.44862014
#974,m0,No UV,1570.444397,10.61695715
#317,m0,No UV,2206.924065,11.10782128
#303,m0,No UV,2227.678836,11.12132554
#289,m0,No UV,2269.18838,11.14796067
#317,m0,No UV,2518.245641,11.2982033
#303,m0,No UV,3251.58091,11.66692561
#258,m0,No UV,3334.599997,11.703298
#317,m0,No UV,3438.373856,11.7475107
#291,m0,No UV,4033.34398,11.97776073
#291,m0,No UV,4081.771781,11.99497981
#258,m0,No UV,4282.401241,12.06420426
#022,m0,No UV,4365.420328,12.09190486
#303,m0,No UV,4441.521158,12.11683815
#317,m0,No UV,4586.804561,12.16327372
#289,m0,No UV,4974.226967,12.28025662
#258,m0,No UV,4988.063482,12.28426411
#003,m0,No UV,5202.529456,12.34499751
#303,m0,No UV,5320.13983,12.37724845
#009,m0,No UV,5679.889207,12.47164707
#131,m0,No UV,5742.153522,12.48737619
#281,m0,No UV,6046.556842,12.56189813
#317,m0,No UV,6108.821157,12.57667829
#291,m0,No UV,6572.344393,12.68219236
#263,m0,No UV,6918.257256,12.75619295
#263,m0,No UV,6918.257256,12.75619295
#282,m0,No UV,6918.257256,12.75619295
#970,m0,No UV,6918.257256,12.75619295
#009,m0,No UV,6925.175513,12.75763492
#009,m0,No UV,6925.175513,12.75763492
#281,m0,No UV,6925.175513,12.75763492
#282,m0,No UV,6925.175513,12.75763492
#291,m0,No UV,6925.175513,12.75763492
#317,m0,No UV,6925.175513,12.75763492
#970,m0,No UV,6925.175513,12.75763492
#970,m0,No UV,6925.175513,12.75763492
#974,m0,No UV,6925.175513,12.75763492
#974,m0,No UV,6925.175513,12.75763492
#003,m0,No UV,6932.09377,12.75907545
#131,m0,No UV,6932.09377,12.75907545
#131,m0,No UV,6932.09377,12.75907545
#317,m0,No UV,6932.09377,12.75907545
#970,m0,No UV,6932.09377,12.75907545
#022,m0,No UV,6939.012028,12.76051455
#281,m0,No UV,6939.012028,12.76051455
#289,m0,No UV,6939.012028,12.76051455
#303,m0,No UV,6939.012028,12.76051455
#009,m0,No UV,6945.930285,12.76195222
#317,m0,No UV,6945.930285,12.76195222
#970,m0,No UV,6945.930285,12.76195222
#003,m0,No UV,6952.848542,12.76338845
#282,m0,No UV,6952.848542,12.76338845
#303,m0,No UV,6952.848542,12.76338845
#970,m0,No UV,6952.848542,12.76338845
#974,m0,No UV,6952.848542,12.76338845
#009,m0,No UV,6959.766799,12.76482325
#970,m0,No UV,6959.766799,12.76482325
#131,m0,No UV,6966.685057,12.76625663
#258,m0,No UV,6966.685057,12.76625663
#263,m0,No UV,6966.685057,12.76625663
#289,m0,No UV,6966.685057,12.76625663
#974,m0,No UV,6966.685057,12.76625663
#022,m0,No UV,6973.603314,12.76768858
#131,m0,No UV,6973.603314,12.76768858
#258,m0,No UV,6973.603314,12.76768858
#291,m0,No UV,6973.603314,12.76768858
#974,m0,No UV,6973.603314,12.76768858
#303,m0,No UV,6980.521571,12.76911912
#303,m0,No UV,6980.521571,12.76911912
#317,m0,No UV,6980.521571,12.76911912
#009,m0,No UV,6987.439828,12.77054824
#258,m0,No UV,6987.439828,12.77054824
#289,m0,No UV,6994.358086,12.77197594
#317,m0,No UV,6994.358086,12.77197594
#974,m0,No UV,6994.358086,12.77197594
#258,m0,No UV,7001.276343,12.77340224
#281,m0,No UV,7001.276343,12.77340224
#281,m0,No UV,7001.276343,12.77340224
#970,m0,No UV,7001.276343,12.77340224
#009,m0,No UV,7008.1946,12.77482712
#263,m0,No UV,7008.1946,12.77482712
#263,m0,No UV,7008.1946,12.77482712
#263,m0,No UV,7008.1946,12.77482712
#282,m0,No UV,7008.1946,12.77482712
#282,m0,No UV,7008.1946,12.77482712
#970,m0,No UV,7008.1946,12.77482712
#003,m0,No UV,7015.112858,12.7762506
#009,m0,No UV,7015.112858,12.7762506
#258,m0,No UV,7015.112858,12.7762506
#970,m0,No UV,7015.112858,12.7762506
#003,m0,No UV,7022.031115,12.77767267
#131,m0,No UV,7022.031115,12.77767267
#974,m0,No UV,7022.031115,12.77767267
#022,m0,No UV,7028.949372,12.77909335
#263,m0,No UV,7028.949372,12.77909335
#282,m0,No UV,7028.949372,12.77909335
#303,m0,No UV,7028.949372,12.77909335
#131,m0,No UV,7035.867629,12.78051263
#970,m0,No UV,7035.867629,12.78051263
#003,m0,No UV,7042.785887,12.78193051
#281,m0,No UV,7042.785887,12.78193051
#281,m0,No UV,7042.785887,12.78193051
#317,m0,No UV,7042.785887,12.78193051
#003,m0,No UV,7049.704144,12.783347
#009,m0,No UV,7049.704144,12.783347
#022,m0,No UV,7049.704144,12.783347
#022,m0,No UV,7056.622401,12.7847621
#022,m0,No UV,7056.622401,12.7847621
#131,m0,No UV,7056.622401,12.7847621
#289,m0,No UV,7056.622401,12.7847621
#303,m0,No UV,7056.622401,12.7847621
#970,m0,No UV,7056.622401,12.7847621
#022,m0,No UV,7063.540658,12.78617581
#303,m0,No UV,7063.540658,12.78617581
#317,m0,No UV,7063.540658,12.78617581
#282,m0,No UV,7070.458916,12.78758814
#317,m0,No UV,7070.458916,12.78758814
#970,m0,No UV,7070.458916,12.78758814
#003,m0,No UV,7077.377173,12.78899909
#022,m0,No UV,7077.377173,12.78899909
#022,m0,No UV,7077.377173,12.78899909
#974,m0,No UV,7077.377173,12.78899909
#009,m0,No UV,7084.29543,12.79040866
#263,m0,No UV,7084.29543,12.79040866
#317,m0,No UV,7084.29543,12.79040866
#009,m0,No UV,7091.213687,12.79181686
#009,m0,No UV,7091.213687,12.79181686
#258,m0,No UV,7091.213687,12.79181686
#282,m0,No UV,7091.213687,12.79181686
#291,m0,No UV,7091.213687,12.79181686
#291,m0,No UV,7091.213687,12.79181686
#303,m0,No UV,7091.213687,12.79181686
#970,m0,No UV,7091.213687,12.79181686
#003,m0,No UV,7098.131945,12.79322368
#131,m0,No UV,7098.131945,12.79322368
#317,m0,No UV,7098.131945,12.79322368
#974,m0,No UV,7098.131945,12.79322368
#003,m0,No UV,7105.050202,12.79462913
#003,m0,No UV,7105.050202,12.79462913
#263,m0,No UV,7105.050202,12.79462913
#281,m0,No UV,7105.050202,12.79462913
#282,m0,No UV,7105.050202,12.79462913
#974,m0,No UV,7105.050202,12.79462913
#009,m0,No UV,7111.968459,12.79603321
#281,m0,No UV,7111.968459,12.79603321
#289,m0,No UV,7111.968459,12.79603321
#303,m0,No UV,7111.968459,12.79603321
#022,m0,No UV,7118.886716,12.79743593
#258,m0,No UV,7118.886716,12.79743593
#263,m0,No UV,7118.886716,12.79743593
#291,m0,No UV,7118.886716,12.79743593
#974,m0,No UV,7118.886716,12.79743593
#003,m0,No UV,7125.804974,12.79883728
#263,m0,No UV,7125.804974,12.79883728
#303,m0,No UV,7125.804974,12.79883728
#970,m0,No UV,7125.804974,12.79883728
#974,m0,No UV,7125.804974,12.79883728
#009,m0,No UV,7132.723231,12.80023728
#022,m0,No UV,7132.723231,12.80023728
#022,m0,No UV,7132.723231,12.80023728
#131,m0,No UV,7132.723231,12.80023728
#258,m0,No UV,7132.723231,12.80023728
#258,m0,No UV,7132.723231,12.80023728
#258,m0,No UV,7132.723231,12.80023728
#303,m0,No UV,7132.723231,12.80023728
#317,m0,No UV,7132.723231,12.80023728
#282,m0,No UV,7139.641488,12.80163592
#289,m0,No UV,7139.641488,12.80163592
#317,m0,No UV,7139.641488,12.80163592
#974,m0,No UV,7139.641488,12.80163592
#003,m0,No UV,7146.559745,12.8030332
#131,m0,No UV,7146.559745,12.8030332
#281,m0,No UV,7146.559745,12.8030332
#282,m0,No UV,7146.559745,12.8030332
#282,m0,No UV,7146.559745,12.8030332
#289,m0,No UV,7146.559745,12.8030332
#289,m0,No UV,7146.559745,12.8030332
#303,m0,No UV,7146.559745,12.8030332
#970,m0,No UV,7146.559745,12.8030332
#974,m0,No UV,7153.478003,12.80442913
#003,m0,No UV,7160.39626,12.80582371
#003,m0,No UV,7160.39626,12.80582371
#258,m0,No UV,7160.39626,12.80582371
#289,m0,No UV,7160.39626,12.80582371
#291,m0,No UV,7160.39626,12.80582371
#303,m0,No UV,7160.39626,12.80582371
#317,m0,No UV,7160.39626,12.80582371
#974,m0,No UV,7160.39626,12.80582371
#003,m0,No UV,7167.314517,12.80721695
#281,m0,No UV,7167.314517,12.80721695
#282,m0,No UV,7167.314517,12.80721695
#317,m0,No UV,7167.314517,12.80721695
#003,m0,No UV,7174.232774,12.80860884
#263,m0,No UV,7174.232774,12.80860884
#303,m0,No UV,7174.232774,12.80860884
