month,density,volume_uv,volume_no UV,dx,UV_microns,no_UV_microns,diff,mean_volume
1,0.12,13.84297671,13.61616249,0.22681422,14694.37839,12556.63688,2137.741507,13625.50764
1,0.24,14.58116441,14.26766099,0.31350342,24511.38543,19723.9515,4787.433931,22117.66847
1,0.36,15.38543298,14.81312323,0.57230975,42803.25764,28786.86835,14016.38929,35795.063
1,0.48,16.07450979,15.40051072,0.67399907,69009.61625,43252.94423,25756.67202,56131.28024
1,0.6,16.74696632,16.06885812,0.6781082,109986.4535,68739.80411,41246.64944,89363.12883
1,0.72,17.51134759,16.83369233,0.67765526,186827.5373,116800.9376,70026.59967,151814.2375
1,0.84,18.47441756,17.72819625,0.74622131,364211.6538,217129.504,147082.1498,290670.5789
1,0.96,20.38909366,19.25731358,1.13178008,1373184.131,626655.7421,746528.3894,999919.9368
2,0.12,13.91711313,13.89566244,0.02145069,15469.22318,15240.92072,228.3024556,15355.07195
2,0.24,14.73402236,14.53440152,0.19962084,27251.01527,23729.62235,3521.392927,25490.31881
2,0.36,15.47010867,15.16680541,0.30330326,45390.68594,36784.37377,8606.312179,41087.52985
2,0.48,16.2212532,15.84348605,0.37776715,76398.31506,58798.26848,17600.04658,67598.29177
2,0.6,16.87505098,16.52363588,0.3514151,120197.8013,94212.82736,25984.9739,107205.3143
2,0.72,17.66409308,17.33736339,0.32672969,207693.0018,165602.3236,42090.67823,186647.6627
2,0.84,18.66802831,18.28557665,0.38245166,416520.5961,319526.6305,96993.96556,368023.6133
2,0.96,21.39856239,20.19864717,1.19991522,2764452.572,1203368.586,1561083.986,1983910.579
3,0.12,13.78122174,13.77838319,0.00283855,14078.65351,14050.98053,27.6729817,14064.81702
3,0.24,14.58523063,14.57994231,0.00528832,24580.56795,24490.63075,89.9372021,24535.59935
3,0.36,15.36712919,15.30216132,0.06496787,42263.63368,40402.62251,1861.01117,41333.12809
3,0.48,16.0378912,15.98593467,0.05195653,67280.05199,64900.17149,2379.880497,66090.11174
3,0.6,16.83121207,16.73968824,0.09152383,116600.3077,109432.9932,7167.314452,113016.6505
3,0.72,17.84149012,17.54972473,0.29176539,234867.9156,191864.0287,43003.88687,213365.9721
3,0.84,18.87938319,18.70787398,0.17150921,482237.1232,428184.7771,54052.34611,455210.9501
3,0.96,20.97177933,20.44088547,0.53089386,2056528.066,1423376.084,633151.9818,1739952.075
4,0.12,13.70105139,13.79953745,-0.09848606,13317.6452,14258.52819,-940.8829948,13788.0867
4,0.24,14.46724727,14.56437203,-0.09712476,22650.37429,24227.73691,-1577.362624,23439.0556
4,0.36,15.22659966,15.29745996,-0.0708603,38340.98179,40271.17538,-1930.19359,39306.07859
4,0.48,16.0068514,16.02252975,-0.01567835,65847.97253,66567.47152,-719.4989886,66207.72203
4,0.6,16.76697279,16.87812011,-0.11114732,111522.3074,120453.7773,-8931.46993,115988.0423
4,0.72,17.64132799,17.88031426,-0.23898627,204441.4198,241274.2221,-36832.80236,222857.821
4,0.84,18.8883379,18.94647198,-0.05813408,485239.6448,505191.8992,-19952.25441,495215.772
4,0.96,22.18175086,21.11348102,1.06826984,4757429.544,2268773.286,2488656.257,3513101.415
5,0.12,13.70180065,13.62408941,0.07771124,13324.56348,12625.81949,698.7439903,12975.19149
5,0.24,14.49128182,14.28875927,0.20252255,23030.87846,20014.51825,3016.360209,21522.69835
5,0.36,15.2085248,15.02672189,0.18180291,37863.62189,33380.5913,4483.030597,35622.10659
5,0.48,16.06972905,15.84399521,0.22573384,68781.31367,58819.02339,9962.290277,63800.16853
5,0.6,16.97101716,16.72363826,0.2473789,128465.1186,108222.2983,20242.82024,118343.7085
5,0.72,17.85889306,17.6980974,0.16079566,237718.2368,212646.4729,25071.76394,225182.3549
5,0.84,18.9657048,19.11896088,-0.15325608,511971.7924,569351.8168,-57380.02442,540661.8046
5,0.96,23.10370027,20.84197874,2.26172153,9013776.64,1879579.803,7134196.836,5446678.221
6,0.12,13.77126227,13.53187565,0.23938662,13981.79794,11844.05644,2137.741495,12912.92719
6,0.24,14.61735431,14.15782341,0.4595309,25134.02858,18278.03564,6855.992942,21706.03211
6,0.36,15.4481737,14.99559099,0.45258271,44705.77849,32668.01082,12037.76767,38686.89465
6,0.48,16.33259415,15.85700244,0.47559171,82527.89087,59351.72909,23176.16178,70939.80998
6,0.6,17.14334866,16.87280722,0.27054144,144764.5327,120011.0082,24753.52449,132387.7705
6,0.72,18.07454594,17.98266294,0.091883,276045.3819,259012.6331,17032.74879,267529.0075
6,0.84,19.25963709,19.15983561,0.09980148,627665.8059,585713.4953,41952.31061,606689.6506
6,0.96,22.4752754,21.45260415,1.02267125,5830852.51,2869969.849,2960882.661,4350411.18
