month,density,volume_uv,volume_no UV,dx,UV_microns,no_UV_microns,diff,mean_volume
1,0.88,18.79451938,18.12296976,0.67154962,454688.6228,285468.0499,169220.5729,370078.3364
1,0.9,19.03792828,18.33618764,0.70174064,538254.2499,330934.836,207319.4139,434594.543
1,0.92,19.26911509,18.6455448,0.62357029,631802.9247,410079.6992,221723.2255,520941.312
1,0.94,19.52851412,18.94257465,0.58593947,756255.456,503829.0037,252426.4522,630042.2299
1,0.96,20.06367612,19.23229916,0.83137696,1095893.461,615884.0156,480009.4449,855888.7381
1,0.98,20.70885267,19.98549245,0.72336022,1713901.384,1038084.498,675816.8861,1375992.941
2,0.88,19.17389359,18.65862836,0.51526523,591448.7309,413815.5577,177633.1732,502632.1443
2,0.9,19.47260774,19.04218692,0.43042082,727510.0942,539845.4508,187664.6434,633677.7725
2,0.92,19.90071864,19.3624723,0.53824634,978843.4654,674038.8866,304804.5789,826441.176
2,0.94,20.46129308,19.8069667,0.65432638,1443653.497,917257.1375,526396.3594,1180455.317
2,0.96,21.39856239,20.16504065,1.23352174,2764452.572,1175660.967,1588791.605,1970056.77
2,0.98,22.22968968,20.61866913,1.61102055,4918168.32,1610044.497,3308123.823,3264106.408
3,0.88,19.18396671,19.14262455,0.04134216,595592.7678,578767.5659,16825.2019,587180.1668
3,0.9,19.42434044,19.39840353,0.02593691,703572.9249,691037.0465,12535.87836,697304.9857
3,0.92,19.73122693,19.71805933,0.0131676,870344.4358,862436.8697,7907.566077,866390.6528
3,0.94,20.12071285,19.96749723,0.15321562,1140087.285,1025216.541,114870.7435,1082651.913
3,0.96,20.58958275,20.37182258,0.21776017,1577909.191,1356843.201,221065.9899,1467376.196
3,0.98,21.44997956,21.12400954,0.32597002,2864753.469,2285390.934,579362.5346,2575072.201
4,0.88,19.09659499,19.32063209,-0.2240371,560593.3053,654771.54,-94178.23466,607682.4226
4,0.9,19.49533897,19.61959871,-0.12425974,739063.5872,805541.1202,-66477.53301,772302.3537
4,0.92,19.81395728,19.98309639,-0.16913911,921712.4932,1036361.855,-114649.3617,979037.174
4,0.94,20.31117311,20.44954051,-0.1383674,1300985.192,1431940.891,-130955.6992,1366463.041
4,0.96,21.11019543,20.99641663,0.1137788,2263612.267,2091949.552,171662.7152,2177780.909
4,0.98,22.25598304,21.44103622,0.81494682,5008624.552,2847049.646,2161574.905,3927837.099
5,0.88,19.16944852,19.53367842,-0.3642299,589629.2299,758967.4141,-169338.1842,674298.322
5,0.9,19.47626616,19.88592931,-0.40966315,729357.2725,968860.419,-239503.1465,849108.8457
5,0.92,20.03190775,20.07105258,-0.03914483,1072025.468,1101511.083,-29485.61439,1086768.276
5,0.94,20.75401599,20.50015889,0.2538571,1768403.409,1483073.728,285329.6807,1625738.569
5,0.96,21.82663058,20.80122084,1.02540974,3719379.635,1827222.436,1892157.199,2773301.036
5,0.98,22.95051397,21.22202868,1.72848529,8105748.43,2446060.539,5659687.891,5275904.485
6,0.88,19.45746475,19.54250179,-0.08503704,719913.8509,763623.4016,-43709.55074,741768.6263
6,0.9,19.74893872,19.89993328,-0.15099456,881095.4068,978310.7574,-97215.35056,929703.0821
6,0.92,20.14962631,20.25278312,-0.10315681,1163166.594,1249381.914,-86215.32013,1206274.254
6,0.94,20.6959602,20.74919358,-0.05323338,1698653.543,1762502.142,-63848.5989,1730577.842
6,0.96,21.28606854,21.25648911,0.02957943,2557084.739,2505190.895,51893.8439,2531137.817
6,0.98,22.47812435,21.87220674,0.60591761,5842378.314,3838754.16,2003624.154,4840566.237
