month,density,volume_uv,volume_no UV,dx,UV_microns,no_UV_microns,diff,mean_volume
1,0.89,18.96240636,18.22360286,0.7388035,510802.6061,306091.3733,204711.2327,408446.9897
1,0.91,19.15020969,18.51121402,0.63899567,581818.5182,373620.4818,208198.0364,477719.5
1,0.93,19.39503428,18.77188675,0.62314753,689425.0912,447611.2435,241813.8477,568518.1673
1,0.95,19.77117303,19.0947065,0.67646653,894779.7183,559859.9679,334919.7504,727319.8431
1,0.97,20.49327125,19.49712051,0.99615074,1476010.189,739976.7979,736033.3913,1107993.494
1,0.99,21.05329263,20.71979423,0.3334984,2176068.634,1726949.219,449119.4157,1951508.926
2,0.89,19.01700901,18.90476104,0.11224797,530505.8042,490795.0048,39710.79942,510650.4045
2,0.91,19.26845144,19.19430279,0.07414865,631512.3577,599875.1695,31637.18821,615693.7636
2,0.93,19.56298098,19.55452865,0.00845233,774540.4073,770015.8676,4524.539708,772278.1375
2,0.95,20.1608662,19.96368564,0.19718056,1172264.099,1022511.501,149752.5978,1097387.8
2,0.97,20.8083534,20.47350608,0.33484732,1836278.434,1455926.485,380351.949,1646102.46
2,0.99,22.13633145,21.17368685,0.9626446,4609987.634,2365455.927,2244531.707,3487721.78
3,0.89,19.26717068,19.25233568,0.014835,630951.9781,624497.2442,6454.733876,627724.6112
3,0.91,19.56049179,19.60521641,-0.04472462,773205.1869,797550.5354,-24345.3485,785377.8611
3,0.93,19.84146887,19.86113759,-0.01966872,939457.8245,952353.457,-12895.63248,945905.6408
3,0.95,20.25660464,20.16399604,0.0926086,1252695.758,1174810.016,77885.74253,1213752.887
3,0.97,20.98913186,20.65223466,0.3368972,2081413.048,1647942.712,433470.3361,1864677.88
3,0.99,23.20469543,21.46906381,1.73563162,9667392.794,2902900.737,6764492.057,6285146.765
4,0.89,19.28152582,19.52370209,-0.24217627,637261.4303,753737.2095,-116475.7792,695499.3199
4,0.91,19.69087456,19.82367033,-0.13279577,846338.083,927938.9265,-81600.84348,887138.5047
4,0.93,20.08036449,20.22984188,-0.14947739,1108643.807,1229671.8,-121027.9927,1169157.803
4,0.95,20.64033904,20.67088901,-0.03054997,1634410.605,1669389.313,-34978.70797,1651899.959
4,0.97,21.65208021,21.22991899,0.42216122,3295532.597,2459475.051,836057.5456,2877503.824
4,0.99,23.76906047,21.84276444,1.92629603,14295527,3761207.424,10534319.58,9028367.214
5,0.89,19.2869192,19.65734947,-0.37043027,639648.231,826897.7795,-187249.5485,733273.0053
5,0.91,19.79325663,19.98315417,-0.18989754,908581.6418,1036403.362,-127821.7202,972492.5019
5,0.93,20.39130884,20.19497648,0.19633236,1375294.201,1200310.713,174983.4879,1287802.457
5,0.95,21.329878,20.65062271,0.67925529,2635925.199,1646102.463,989822.7353,2141013.831
5,0.97,22.20203964,21.03370818,1.16833146,4824806.456,2146728.303,2678078.152,3485767.379
5,0.99,24.39771775,21.79139619,2.60632156,22102676.56,3629642.91,18473033.65,12866159.74
6,0.89,19.58291938,19.71856845,-0.13564907,785319.0563,862741.2732,-77422.21685,824030.1648
6,0.91,19.93238605,20.03874395,-0.1063579,1000566.795,1077117.308,-76550.5126,1038842.051
6,0.93,20.35180849,20.46565591,-0.11384742,1338150.071,1448025.833,-109875.762,1393087.952
6,0.95,21.02549732,21.08319311,-0.05769579,2134545.256,2221639.204,-87093.94739,2178092.23
6,0.97,21.77787254,21.45260415,0.32526839,3595778.044,2869969.849,725808.1948,3232873.947
6,0.99,23.86862007,22.2999266,1.56869347,15316890.1,5163531.226,10153358.87,10240210.66
