mouse_id,month,treatment,month_treatment,mutation,sqrt_mutation,volume
443,3,No UV,NoUV3,2,1.414213562,7570143.88
445,3,No UV,NoUV3,5,2.236067977,11558429.25
445,3,No UV,NoUV3,4,2,127084.72
443,3,No UV,NoUV3,0,0,178592.8
9157,3,No UV,NoUV3,13,3.605551275,2976095.91
9159,3,No UV,NoUV3,2,1.414213562,5157436.26
9156,3,No UV,NoUV3,1,1,2467202.74
9157,3,No UV,NoUV3,1,1,1939367.38
9158,3,No UV,NoUV3,3,1.732050808,2629684.93
9158,3,No UV,NoUV3,2,1.414213562,1858506.79
9158,3,No UV,NoUV3,2,1.414213562,2386100.01
9159,3,No UV,NoUV3,2,1.414213562,588051.87
9156,3,No UV,NoUV3,5,2.236067977,55904.13
9156,3,No UV,NoUV3,5,2.236067977,21232.13
9157,3,No UV,NoUV3,3,1.732050808,59042.14
443,3,UV,UV3,76,8.717797887,47293434.9
445,3,UV,UV3,10,3.16227766,40378602.19
443,3,UV,UV3,9,3,22452090.08
445,3,UV,UV3,2,1.414213562,6194690.57
448,3,UV,UV3,8,2.828427125,13500584.69
446,3,UV,UV3,4,2,7209488.21
443,3,UV,UV3,7,2.645751311,139693.75
445,3,UV,UV3,8,2.828427125,152485.31
9154,3,UV,UV3,3,1.732050808,6336999.12
9154,3,UV,UV3,38,6.164414003,9477369.04
9156,3,UV,UV3,11,3.31662479,11695950.37
9157,3,UV,UV3,14,3.741657387,9798445.36
9158,3,UV,UV3,7,2.645751311,18555201.81
9159,3,UV,UV3,12,3.464101615,20614358.82
9156,3,UV,UV3,11,3.31662479,159223.69
9157,3,UV,UV3,8,2.828427125,2396864.82
9158,3,UV,UV3,4,2,1774290.85
9159,3,UV,UV3,2,1.414213562,5089132.3
9154,3,UV,UV3,10,3.16227766,195972.22
9154,3,UV,UV3,11,3.31662479,91448.29
9156,3,UV,UV3,5,2.236067977,493209.48
9158,3,UV,UV3,5,2.236067977,101521.1
9159,3,UV,UV3,4,2,268728.17
448,7,No UV,NoUV7,9,3,18138563.6
448,7,No UV,NoUV7,2,1.414213562,160387.35
445,7,No UV,NoUV7,7,2.645751311,335872.27
446,7,No UV,NoUV7,5,2.236067977,793863.1
444,7,UV,UV7,99,9.949874371,15315714.01
445,7,UV,UV7,3,1.732050808,43193295.15
446,7,UV,UV7,18,4.242640687,29970983.52
448,7,UV,UV7,25,5,40533764.86
6,7,UV,UV7,9,3,29021597.99
444,7,UV,UV7,70,8.366600265,12894566.11
445,7,UV,UV7,21,4.582575695,14207796.62
446,7,UV,UV7,38,6.164414003,23798431.37
448,7,UV,UV7,3,1.732050808,11977004.57
444,7,UV,UV7,26,5.099019514,191626.73
445,7,UV,UV7,21,4.582575695,249005.37
448,7,UV,UV7,2,1.414213562,153998.33
