mouse_id,month,treatment,volume,density
#003,m1,UV,13.00229696,0.000403388
#003,m1,UV,13.00715452,0.001344628
#003,m1,UV,13.01320356,0.002420331
#003,m1,UV,13.03714926,0.005512976
#003,m1,UV,13.06420426,0.008605621
#003,m1,UV,13.07465441,0.009412397
#003,m1,UV,13.11120921,0.014925373
#003,m1,UV,13.11233676,0.015059836
#003,m1,UV,13.11796131,0.016538927
#003,m1,UV,13.11796131,0.016538927
#003,m1,UV,13.12132554,0.016942315
#003,m1,UV,13.12356401,0.017345704
#003,m1,UV,13.15673088,0.022051903
#003,m1,UV,13.19555012,0.027699341
#003,m1,UV,13.19661367,0.027968267
#003,m1,UV,13.1997996,0.028640581
#003,m1,UV,13.2050939,0.029178432
#003,m1,UV,13.20615043,0.029447358
#003,m1,UV,13.27220809,0.038052978
#003,m1,UV,13.28025662,0.039532069
#003,m1,UV,13.28925787,0.040742235
#003,m1,UV,13.30216131,0.042624714
#003,m1,UV,13.30413626,0.043028103
#003,m1,UV,13.31495038,0.044641657
#003,m1,UV,13.37349143,0.053247277
#003,m1,UV,13.38099571,0.053650666
#003,m1,UV,13.38846116,0.055398682
#003,m1,UV,13.3903215,0.055667608
#003,m1,UV,13.39496189,0.056877773
#003,m1,UV,13.4069575,0.059298104
#003,m1,UV,13.43696737,0.065080005
#003,m1,UV,13.45663266,0.068038187
#003,m1,UV,13.47076819,0.07005513
#003,m1,UV,13.47076819,0.07005513
#003,m1,UV,13.50979748,0.076509345
#003,m1,UV,13.54027809,0.08054323
#003,m1,UV,13.54278931,0.081350007
#003,m1,UV,13.55610915,0.083098023
#003,m1,UV,13.57749499,0.087400834
#003,m1,UV,13.57912699,0.087669759
#003,m1,UV,13.59615253,0.089283313
#003,m1,UV,13.59937284,0.090493479
#003,m1,UV,13.60899084,0.092241495
#003,m1,UV,13.62171591,0.093855049
#003,m1,UV,13.62645902,0.094796289
#003,m1,UV,13.62803659,0.095065214
#003,m1,UV,13.63039973,0.095871991
#003,m1,UV,13.63432971,0.096947694
#003,m1,UV,13.64838966,0.098426785
#003,m1,UV,13.6646216,0.101116041
#003,m1,UV,13.69127547,0.105687777
#003,m1,UV,13.71299306,0.108914885
#003,m1,UV,13.72409932,0.110662902
#003,m1,UV,13.72557371,0.11106629
#003,m1,UV,13.74533195,0.113486621
#003,m1,UV,13.77838319,0.117789431
#003,m1,UV,13.78970405,0.120075299
#003,m1,UV,13.81069416,0.123302407
#003,m1,UV,13.84433454,0.127067366
#003,m1,UV,13.84907691,0.128277531
#003,m1,UV,13.86388082,0.130294474
#003,m1,UV,13.88382623,0.134059433
#003,m1,UV,13.89238433,0.135404061
#003,m1,UV,13.90740234,0.137555466
#003,m1,UV,13.9151762,0.138765631
#003,m1,UV,13.92033559,0.14011026
#003,m1,UV,13.93251572,0.141992739
#003,m1,UV,13.94964931,0.144547533
#003,m1,UV,13.95279999,0.144950921
#003,m1,UV,13.95908078,0.146026624
#003,m1,UV,13.96471021,0.146564475
#003,m1,UV,13.96845099,0.147102326
#003,m1,UV,13.98639596,0.149926045
#003,m1,UV,13.98762535,0.150329434
#003,m1,UV,13.98946749,0.15059836
#003,m1,UV,14.00533485,0.154228856
