mouse_id,month,treatment,volume,density
#003,m1,No UV,13.00108001,0.000411241
#003,m1,No UV,13.00957718,0.001507882
#003,m1,No UV,13.0156161,0.003564085
#003,m1,No UV,13.0204291,0.004386566
#003,m1,No UV,13.02642285,0.005209047
#003,m1,No UV,13.03000719,0.005894448
#003,m1,No UV,13.03119999,0.006168609
#003,m1,No UV,13.0489747,0.008910212
#003,m1,No UV,13.05367786,0.009458533
#003,m1,No UV,13.06653307,0.011377656
#003,m1,No UV,13.08502941,0.013570939
#003,m1,No UV,13.08961668,0.014667581
#003,m1,No UV,13.09760947,0.015764222
#003,m1,No UV,13.10215698,0.017409184
#003,m1,No UV,13.11908359,0.019876628
#003,m1,No UV,13.120205,0.020287868
#003,m1,No UV,13.12244521,0.020973269
#003,m1,No UV,13.13913682,0.023166552
#003,m1,No UV,13.15891512,0.026319397
#003,m1,No UV,13.18057762,0.029198081
#003,m1,No UV,13.19235479,0.031528444
#003,m1,No UV,13.19555012,0.032076765
#003,m1,No UV,13.21352457,0.033995888
#003,m1,No UV,13.21457495,0.034407128
#003,m1,No UV,13.21876883,0.03564085
#003,m1,No UV,13.22816073,0.038245374
#003,m1,No UV,13.22816073,0.038245374
#003,m1,No UV,13.23231537,0.038519534
#003,m1,No UV,13.24778954,0.041535298
#003,m1,No UV,13.25495441,0.042357779
#003,m1,No UV,13.26917828,0.044688143
#003,m1,No UV,13.27220809,0.045373544
#003,m1,No UV,13.28025662,0.046333105
#003,m1,No UV,13.28526425,0.047155586
#003,m1,No UV,13.33150528,0.054969157
#003,m1,No UV,13.33440711,0.055791638
#003,m1,No UV,13.38193101,0.062234407
#003,m1,No UV,13.39496189,0.06429061
#003,m1,No UV,13.3995874,0.064976011
#003,m1,No UV,13.41154477,0.067169294
#003,m1,No UV,13.45307704,0.075668266
#003,m1,No UV,13.45396677,0.076079507
#003,m1,No UV,13.4575202,0.076627827
#003,m1,No UV,13.4681283,0.079506511
#003,m1,No UV,13.5012151,0.084304318
#003,m1,No UV,13.51832912,0.086908842
#003,m1,No UV,13.52596469,0.088005483
#003,m1,No UV,13.52596469,0.088005483
#003,m1,No UV,13.52934534,0.088827964
#003,m1,No UV,13.53187565,0.089787526
#003,m1,No UV,13.55362103,0.093625771
#003,m1,No UV,13.56189813,0.095544894
#003,m1,No UV,13.57586113,0.098012337
#003,m1,No UV,13.57994231,0.098560658
#003,m1,No UV,13.58238548,0.098834818
#003,m1,No UV,13.58482453,0.099520219
#003,m1,No UV,13.59695828,0.102398903
#003,m1,No UV,13.61218264,0.104729267
#003,m1,No UV,13.61297949,0.105140507
#003,m1,No UV,13.6153674,0.105551748
#003,m1,No UV,13.63197301,0.108704592
#003,m1,No UV,13.64683419,0.111034955
#003,m1,No UV,13.65691487,0.112542838
#003,m1,No UV,13.65923122,0.113091158
#003,m1,No UV,13.67686736,0.115695682
#003,m1,No UV,13.69278378,0.118026045
#003,m1,No UV,13.7100169,0.120082248
#003,m1,No UV,13.75113466,0.126936258
#003,m1,No UV,13.76267051,0.129403701
#003,m1,No UV,13.77340224,0.131322824
#003,m1,No UV,13.78829379,0.134201508
#003,m1,No UV,13.79040866,0.134612748
#003,m1,No UV,13.80582371,0.137354352
#003,m1,No UV,13.81485579,0.138450994
#003,m1,No UV,13.83821422,0.142289239
#003,m1,No UV,13.86052961,0.145990404
#003,m1,No UV,13.8725577,0.147498286
#003,m1,No UV,13.87654489,0.148320768
#003,m1,No UV,13.8778715,0.148869088
#003,m1,No UV,13.88118272,0.149554489
#003,m1,No UV,13.88712382,0.150651131
#003,m1,No UV,13.89893312,0.152981494
#003,m1,No UV,13.90934973,0.154626456
#003,m1,No UV,13.9112945,0.155037697
#003,m1,No UV,13.91388346,0.155448938
#003,m1,No UV,13.91582213,0.155586018
#003,m1,No UV,13.9177582,0.155860178
#003,m1,No UV,13.96969577,0.163399589
#003,m1,No UV,13.98331788,0.166141193
#003,m1,No UV,13.99375666,0.168197395
#003,m1,No UV,13.99742298,0.168882796
#003,m1,No UV,14.00594166,0.170527759
#003,m1,No UV,14.01078699,0.17148732
#003,m1,No UV,14.01742285,0.172035641
#003,m1,No UV,14.04602741,0.177930089
#003,m1,No UV,14.04602741,0.177930089
#003,m1,No UV,14.0489747,0.17834133
#003,m1,No UV,14.0489747,0.17834133
#003,m1,No UV,14.05250351,0.179026731
#003,m1,No UV,14.06653307,0.181494174
#003,m1,No UV,14.07638877,0.183550377
#003,m1,No UV,14.09018906,0.186429061
#003,m1,No UV,14.09533033,0.187662783
#003,m1,No UV,14.09647035,0.188074023
#003,m1,No UV,14.13692239,0.195750514
#003,m1,No UV,14.17357292,0.202056203
#003,m1,No UV,14.17519241,0.202193283
#003,m1,No UV,14.18057762,0.203427005
#003,m1,No UV,14.21562456,0.207813571
#003,m1,No UV,14.22190627,0.208498972
#003,m1,No UV,14.22451559,0.209047293
#003,m1,No UV,14.23075878,0.210281014
#003,m1,No UV,14.25393303,0.21439342
#003,m1,No UV,14.2605591,0.216038382
#003,m1,No UV,14.26106754,0.216312543
#003,m1,No UV,14.27119886,0.217546265
#003,m1,No UV,14.27220809,0.217957505
#003,m1,No UV,14.29025455,0.220013708
#003,m1,No UV,14.30758591,0.222069911
#003,m1,No UV,14.31397062,0.223166552
#003,m1,No UV,14.31788567,0.223989034
#003,m1,No UV,14.32032719,0.224674435
#003,m1,No UV,14.32325157,0.225085675
#003,m1,No UV,14.32471154,0.225359836
#003,m1,No UV,14.32519787,0.225496916
#003,m1,No UV,14.32811241,0.225908156
#003,m1,No UV,14.3305367,0.226456477
#003,m1,No UV,14.33778523,0.227690199
#003,m1,No UV,14.3502637,0.229609321
#003,m1,No UV,14.35169661,0.230020562
#003,m1,No UV,14.35408162,0.231117204
#003,m1,No UV,14.35503452,0.231391364
#003,m1,No UV,14.36783749,0.233858807
#003,m1,No UV,14.37396159,0.234681289
#003,m1,No UV,14.38333282,0.23564085
#003,m1,No UV,14.38473327,0.236600411
#003,m1,No UV,14.4060383,0.240027416
#003,m1,No UV,14.41976528,0.241398218
#003,m1,No UV,14.43966484,0.244276902
#003,m1,No UV,14.44146035,0.244688143
#003,m1,No UV,14.46548358,0.249074709
#003,m1,No UV,14.46636569,0.249348869
#003,m1,No UV,14.47208632,0.25030843
#003,m1,No UV,14.4729644,0.250445511
#003,m1,No UV,14.48607196,0.252090473
#003,m1,No UV,14.49387971,0.253735435
#003,m1,No UV,14.49863039,0.254283756
#003,m1,No UV,14.50336548,0.256065798
#003,m1,No UV,14.50551267,0.256751199
#003,m1,No UV,14.50979748,0.2574366
#003,m1,No UV,14.51150785,0.258122001
#003,m1,No UV,14.51406961,0.258807402
#003,m1,No UV,14.52723336,0.260863605
#003,m1,No UV,14.52850092,0.261274846
#003,m1,No UV,14.53650304,0.262919808
#003,m1,No UV,14.53692298,0.263056888
#003,m1,No UV,14.53902084,0.263742289
#003,m1,No UV,14.54111565,0.26401645
#003,m1,No UV,14.54237108,0.26442769
#003,m1,No UV,14.55569476,0.266346813
#003,m1,No UV,14.55859299,0.267032214
#003,m1,No UV,14.57667829,0.270047978
#003,m1,No UV,14.58034979,0.270870459
#003,m1,No UV,14.59292503,0.272652502
#003,m1,No UV,14.59615253,0.273200822
#003,m1,No UV,14.61655988,0.275805346
#003,m1,No UV,14.62606435,0.277587389
