month,treatment,volume,number,proportion,FICM
m1,no_uv,0,168,0.095022624,1
m1,no_uv,1,332,0.187782805,1
m1,no_uv,2,363,0.205316742,0.9329834
m1,no_uv,3,305,0.172511312,0.7864352
m1,no_uv,4,252,0.142533937,0.601736
m1,no_uv,5,189,0.106900452,0.398264
m1,no_uv,6,107,0.060520362,0.2075091
m1,no_uv,7,32,0.018099548,0.07791684
m1,no_uv,8,18,0.010180995,0.03270085
m1,no_uv,9,2,0.001131222,0.003633428
m1,uv,0,129,0.075,1
m1,uv,1,238,0.138372093,1
m1,uv,2,282,0.163953488,0.9580838
m1,uv,3,307,0.178488372,0.8587531
m1,uv,4,304,0.176744186,0.6965481
m1,uv,5,226,0.131395349,0.4823882
m1,uv,6,114,0.06627907,0.2833744
m1,uv,7,57,0.033139535,0.1629095
m1,uv,8,49,0.028488372,0.09263825
m1,uv,9,8,0.004651163,0.02359986
m1,uv,10,4,0.002325581,0.01091934
m1,uv,11,2,0.001162791,0.003874605
m2,no_uv,0,100,0.070671378,1
m2,no_uv,1,222,0.156890459,1
m2,no_uv,2,271,0.191519435,0.9508632
m2,no_uv,3,249,0.175971731,0.8308986
m2,no_uv,4,207,0.146289753,0.66556
m2,no_uv,5,175,0.123674912,0.4822931
m2,no_uv,6,87,0.061484099,0.2886233
m2,no_uv,7,61,0.043109541,0.1730854
m2,no_uv,8,33,0.023321555,0.07857459
m2,no_uv,9,9,0.006360424,0.02014166
m2,no_uv,10,1,0.000706714,0.002213369
m2,uv,0,80,0.055517002,1
m2,uv,1,217,0.150589868,1
m2,uv,2,230,0.159611381,0.9573925
m2,uv,3,238,0.165163081,0.8670725
m2,uv,4,236,0.163775156,0.72688
m2,uv,5,184,0.127689105,0.5415276
m2,uv,6,114,0.079111728,0.3608875
m2,uv,7,58,0.040249827,0.2265855
m2,uv,8,30,0.020818876,0.1468682
m2,uv,9,34,0.023594726,0.09974475
m2,uv,10,18,0.012491325,0.03966228
m2,uv,11,2,0.001387925,0.004319654
m3,no_uv,0,87,0.073666384,1
m3,no_uv,1,182,0.154106689,1
m3,no_uv,2,213,0.180355631,0.9537719
m3,no_uv,3,184,0.155800169,0.8455677
m3,no_uv,4,173,0.146486029,0.7053594
m3,no_uv,5,136,0.115156647,0.5295911
m3,no_uv,6,89,0.075359865,0.3568707
m3,no_uv,7,74,0.062658764,0.2212344
m3,no_uv,8,34,0.028789162,0.08966218
m3,no_uv,9,9,0.00762066,0.02057404
m3,uv,0,93,0.086111111,1
m3,uv,1,160,0.148148148,1
m3,uv,2,167,0.15462963,0.9576495
m3,uv,3,173,0.160185185,0.869243
m3,uv,4,145,0.134259259,0.7318687
m3,uv,5,125,0.115740741,0.5783483
m3,uv,6,97,0.089814815,0.4129169
m3,uv,7,61,0.056481481,0.2588671
m3,uv,8,28,0.025925926,0.1458444
m3,uv,9,7,0.006481481,0.08655373
m3,uv,10,8,0.007407407,0.06987824
m3,uv,11,10,0.009259259,0.04870302
m3,uv,12,4,0.003703704,0.01958708
m3,uv,13,2,0.001851852,0.006881949
m4,no_uv,0,72,0.065395095,1
m4,no_uv,1,179,0.162579473,1
m4,no_uv,2,186,0.16893733,0.9531414
m4,no_uv,3,180,0.163487738,0.8557592
m4,no_uv,4,137,0.124432334,0.7143979
m4,no_uv,5,124,0.112624886,0.5709424
m4,no_uv,6,94,0.08537693,0.4086387
m4,no_uv,7,59,0.053587648,0.2609948
m4,no_uv,8,50,0.045413261,0.1528796
m4,no_uv,9,16,0.014532243,0.04816754
m4,no_uv,10,4,0.003633061,0.0104712
m4,uv,0,108,0.093183779,1
m4,uv,1,174,0.150129422,1
m4,uv,2,190,0.163934426,0.9570476
m4,uv,3,177,0.15271786,0.8632436
m4,uv,4,163,0.140638481,0.7321649
m4,uv,5,127,0.109577222,0.571217
m4,uv,6,81,0.069887834,0.4144656
m4,uv,7,51,0.044003451,0.2944952
