"","mouse_id","month","treatment","clade_volume","ln2volume","density"
"1","#003","m1","UV",8205.053106,13.00229696,0.000554323725055432
"2","#003","m1","UV",8232.726135,13.00715452,0.0016629711751663
"3","#022","m1","UV",8232.726135,13.00715452,0.0016629711751663
"4","#006","m1","UV",8253.480906,13.01078699,0.00221729490022173
"5","#003","m1","UV",8267.317421,13.01320356,0.00277161862527716
"6","#970","m1","UV",8281.153935,13.0156161,0.00332594235033259
"7","#006","m1","UV",8288.072193,13.01682085,0.00388026607538803
"8","#003","m1","UV",8405.682566,13.03714926,0.00443458980044346
"9","#022","m1","UV",8433.355595,13.04189107,0.00554323725055432
"10","#022","m1","UV",8433.355595,13.04189107,0.00554323725055432
"11","#006","m1","UV",8461.028624,13.04661735,0.00609756097560976
"12","#006","m1","UV",8474.865139,13.0489747,0.00720620842572062
"13","#970","m1","UV",8474.865139,13.0489747,0.00720620842572062
"14","#022","m1","UV",8516.374682,13.05602371,0.00776053215077605
"15","#022","m1","UV",8550.965968,13.06187169,0.00886917960088692
"16","#970","m1","UV",8550.965968,13.06187169,0.00886917960088692
"17","#003","m1","UV",8564.802483,13.06420426,0.00942350332594235
"18","#006","m1","UV",8585.557255,13.06769606,0.00997782705099778
"19","#022","m1","UV",8592.475512,13.06885812,0.0105321507760532
"20","#003","m1","UV",8627.066798,13.07465441,0.0110864745011086
"21","#006","m1","UV",8647.82157,13.07812104,0.0116407982261641
"22","#022","m1","UV",8654.739827,13.07927474,0.0121951219512195
"23","#006","m1","UV",8675.494599,13.08273029,0.0127494456762749
"24","#970","m1","UV",8703.167628,13.08732487,0.0133037694013304
"25","#022","m1","UV",8730.840657,13.09190486,0.0138580931263858
"26","#970","m1","UV",8737.758914,13.09304759,0.0144124168514412
"27","#022","m1","UV",8772.350201,13.09874769,0.0149667405764967
"28","#022","m1","UV",8779.268458,13.09988502,0.0155210643015521
"29","#970","m1","UV",8786.186715,13.10102144,0.0160753880266075
"30","#003","m1","UV",8848.45103,13.11120921,0.016629711751663
"31","#003","m1","UV",8855.369288,13.11233676,0.0171840354767184
"32","#003","m1","UV",8889.960574,13.11796131,0.0182926829268293
"33","#003","m1","UV",8889.960574,13.11796131,0.0182926829268293
"34","#003","m1","UV",8910.715346,13.12132554,0.0188470066518847
"35","#003","m1","UV",8924.55186,13.12356401,0.0194013303769401
"36","#970","m1","UV",8979.897918,13.13248333,0.0199556541019956
"37","#022","m1","UV",8986.816175,13.13359438,0.020509977827051
"38","#022","m1","UV",9000.65269,13.13581391,0.0210643015521064
"39","#006","m1","UV",9021.407462,13.13913682,0.0216186252771619
"40","#022","m1","UV",9028.325719,13.14024275,0.0221729490022173
"41","#022","m1","UV",9118.263063,13.15454332,0.0227272727272727
"42","#003","m1","UV",9132.099578,13.15673088,0.0232815964523282
"43","#006","m1","UV",9166.690864,13.16218531,0.0238359201773836
"44","#970","m1","UV",9263.546466,13.17734891,0.024390243902439
"45","#006","m1","UV",9291.219495,13.18165225,0.0249445676274945
"46","#006","m1","UV",9305.056009,13.18379912,0.0254988913525499
"47","#003","m1","UV",9381.156839,13.19555012,0.0260532150776053
"48","#003","m1","UV",9388.075096,13.19661367,0.0266075388026608
"49","#003","m1","UV",9408.829868,13.1997996,0.0271618625277162
"50","#003","m1","UV",9443.421154,13.2050939,0.0277161862527716
"51","#003","m1","UV",9450.339412,13.20615043,0.0282705099778271
"52","#006","m1","UV",9547.195013,13.22086121,0.0288248337028825
"53","#022","m1","UV",9595.622814,13.22816073,0.0293791574279379
"54","#006","m1","UV",9637.132358,13.2343882,0.0299334811529933
"55","#006","m1","UV",9657.887129,13.23749189,0.0304878048780488
"56","#022","m1","UV",9727.069702,13.24778954,0.0310421286031042
"57","#970","m1","UV",9747.824474,13.25086456,0.0315964523281596
"58","#006","m1","UV",9761.660988,13.25291093,0.0321507760532151
"59","#970","m1","UV",9775.497503,13.25495441,0.0327050997782705
"60","#970","m1","UV",9782.41576,13.25597507,0.0332594235033259
"61","#022","m1","UV",9789.334017,13.256995,0.0338137472283814
"62","#970","m1","UV",9830.843561,13.2630995,0.0343680709534368
"63","#003","m1","UV",9893.107876,13.27220809,0.0349223946784922
"64","#970","m1","UV",9900.026133,13.27321662,0.0354767184035477
"65","#022","m1","UV",9927.699162,13.27724368,0.0360310421286031
"66","#970","m1","UV",9934.61742,13.2782487,0.0365853658536585
"67","#006","m1","UV",9941.535677,13.27925301,0.037139689578714
"68","#003","m1","UV",9948.453934,13.28025662,0.0376940133037694
"69","#022","m1","UV",9962.290449,13.28226176,0.0382483370288248
"70","#970","m1","UV",9969.208706,13.28326328,0.0388026607538803
"71","#022","m1","UV",9976.126963,13.28426411,0.0393569844789357
"72","#003","m1","UV",10010.71825,13.28925787,0.0399113082039911
"73","#970","m1","UV",10024.55476,13.29125054,0.0404656319290466
"74","#006","m1","UV",10059.14605,13.29622022,0.041019955654102
"75","#003","m1","UV",10100.65559,13.30216132,0.0415742793791574
"76","#970","m1","UV",10107.57385,13.30314912,0.0421286031042129
"77","#003","m1","UV",10114.49211,13.30413626,0.0426829268292683
"78","#022","m1","UV",10135.24688,13.30709361,0.0432372505543237
"79","#003","m1","UV",10190.59294,13.31495038,0.0437915742793792
"80","#006","m1","UV",10252.85725,13.32373839,0.04490022172949
"81","#970","m1","UV",10252.85725,13.32373839,0.04490022172949
"82","#022","m1","UV",10301.28505,13.3305367,0.0454545454545455
"83","#022","m1","UV",10349.71286,13.33730312,0.0460088691796009
"84","#006","m1","UV",10356.63111,13.33826717,0.0465631929046563
"85","#970","m1","UV",10377.38588,13.34115545,0.0471175166297118
"86","#006","m1","UV",10425.81369,13.34787236,0.0476718403547672
"87","#006","m1","UV",10432.73194,13.34882937,0.0482261640798226
"88","#006","m1","UV",10467.32323,13.35360493,0.0487804878048781
"89","#022","m1","UV",10522.66929,13.3612131,0.0498891352549889
"90","#970","m1","UV",10522.66929,13.3612131,0.0498891352549889
"91","#006","m1","UV",10591.85186,13.37066723,0.0504434589800443
"92","#006","m1","UV",10605.68837,13.37255064,0.0509977827050998
"93","#003","m1","UV",10612.60663,13.37349143,0.0515521064301552
"94","#970","m1","UV",10619.52489,13.3744316,0.0521064301552106
"95","#003","m1","UV",10667.95269,13.38099571,0.0526607538802661
"96","#970","m1","UV",10702.54398,13.38566614,0.0532150776053215
"97","#003","m1","UV",10723.29875,13.38846116,0.0537694013303769
"98","#003","m1","UV",10737.13526,13.3903215,0.0543237250554324
"99","#006","m1","UV",10744.05352,13.39125078,0.0554323725055432
"100","#022","m1","UV",10744.05352,13.39125078,0.0554323725055432
"101","#003","m1","UV",10771.72655,13.39496189,0.0559866962305987
"102","#022","m1","UV",10792.48132,13.39773898,0.0565410199556541
"103","#022","m1","UV",10847.82738,13.40511851,0.0570953436807095
"104","#003","m1","UV",10861.66389,13.40695751,0.057649667405765
"105","#970","m1","UV",10896.25518,13.41154477,0.0582039911308204
"106","#006","m1","UV",10910.09169,13.41337561,0.0587583148558758
"107","#006","m1","UV",10917.00995,13.41429015,0.0593126385809313
"108","#022","m1","UV",10951.60124,13.4188542,0.0598669623059867
"109","#022","m1","UV",11000.02904,13.42521971,0.0604212860310421
"110","#006","m1","UV",11048.45684,13.43155726,0.061529933481153
"111","#022","m1","UV",11048.45684,13.43155726,0.061529933481153
"112","#003","m1","UV",11089.96638,13.43696737,0.0620842572062084
"113","#006","m1","UV",11131.47593,13.44235727,0.0626385809312639
"114","#006","m1","UV",11138.39418,13.44325363,0.0631929046563193
"115","#970","m1","UV",11172.98547,13.44772711,0.0637472283813747
"116","#970","m1","UV",11214.49501,13.45307704,0.0643015521064302
"117","#006","m1","UV",11228.33153,13.45485595,0.0648558758314856
"118","#003","m1","UV",11242.16804,13.45663266,0.065410199556541
"119","#006","m1","UV",11256.00456,13.4584072,0.0659645232815965
"120","#970","m1","UV",11304.43236,13.46460093,0.0665188470066519
"121","#003","m1","UV",11352.86016,13.47076818,0.0676274944567627
"122","#003","m1","UV",11352.86016,13.47076818,0.0676274944567627
"123","#006","m1","UV",11422.04273,13.47953307,0.0681818181818182
"124","#970","m1","UV",11428.96099,13.48040663,0.0687361419068736
"125","#970","m1","UV",11463.55227,13.48476655,0.069290465631929
"126","#006","m1","UV",11470.47053,13.48563695,0.0698447893569845
"127","#022","m1","UV",11505.06182,13.48998111,0.0703991130820399
"128","#006","m1","UV",11511.98007,13.49084838,0.0709534368070953
"129","#022","m1","UV",11546.57136,13.4951769,0.0715077605321508
"130","#006","m1","UV",11601.91742,13.50207563,0.0720620842572062
"131","#970","m1","UV",11622.67219,13.50465418,0.0726164079822616
"132","#003","m1","UV",11664.18173,13.50979748,0.0731707317073171
"133","#970","m1","UV",11671.09999,13.51065292,0.0737250554323725
"134","#970","m1","UV",11726.44605,13.51747822,0.0748337028824834
"135","#970","m1","UV",11726.44605,13.51747822,0.0748337028824834
"136","#022","m1","UV",11754.11908,13.5208788,0.0753880266075388
"137","#022","m1","UV",11788.71036,13.52511828,0.0759423503325942
"138","#022","m1","UV",11830.21991,13.53018927,0.0764966740576497
"139","#003","m1","UV",11913.239,13.54027809,0.0770509977827051
"140","#003","m1","UV",11933.99377,13.54278931,0.0776053215077605
"141","#003","m1","UV",12044.68588,13.55610915,0.078159645232816
"142","#970","m1","UV",12093.11368,13.56189813,0.0787139689578714
"143","#006","m1","UV",12113.86846,13.56437203,0.0792682926829268
"144","#022","m1","UV",12127.70497,13.56601894,0.0798226164079823
"145","#006","m1","UV",12189.96929,13.57340687,0.0803769401330377
"146","#022","m1","UV",12210.72406,13.57586113,0.0809312638580931
"147","#003","m1","UV",12224.56057,13.57749499,0.082039911308204
"148","#006","m1","UV",12224.56057,13.57749499,0.082039911308204
"149","#003","m1","UV",12238.39709,13.57912699,0.0825942350332594
"150","#022","m1","UV",12266.07012,13.58238548,0.0831485587583149
"151","#003","m1","UV",12383.68049,13.59615253,0.0837028824833703
"152","#970","m1","UV",12390.59875,13.59695828,0.0842572062084257
"153","#970","m1","UV",12397.517,13.59776358,0.0848115299334812
"154","#970","m1","UV",12404.43526,13.59856843,0.0853658536585366
"155","#003","m1","UV",12411.35352,13.59937284,0.085920177383592
"156","#006","m1","UV",12425.19003,13.6009803,0.0864745011086474
"157","#006","m1","UV",12432.10829,13.60178335,0.0870288248337029
"158","#006","m1","UV",12445.9448,13.60338813,0.0881374722838137
"159","#022","m1","UV",12445.9448,13.60338813,0.0881374722838137
"160","#003","m1","UV",12494.3726,13.60899084,0.0886917960088692
"161","#003","m1","UV",12605.06472,13.62171591,0.0892461197339246
"162","#003","m1","UV",12646.57426,13.62645902,0.08980044345898
"163","#003","m1","UV",12660.41078,13.62803659,0.0903547671840355
"164","#970","m1","UV",12674.24729,13.62961245,0.0909090909090909
"165","#003","m1","UV",12681.16555,13.63039973,0.0914634146341463
"166","#003","m1","UV",12715.75684,13.63432971,0.0920177383592018
"167","#006","m1","UV",12798.77592,13.64371822,0.0925720620842572
"168","#022","m1","UV",12805.69418,13.64449784,0.0931263858093126
"169","#003","m1","UV",12840.28547,13.64838966,0.0936807095343681
"170","#022","m1","UV",12902.54978,13.65536858,0.0947893569844789
"171","#970","m1","UV",12902.54978,13.65536858,0.0947893569844789
"172","#006","m1","UV",12909.46804,13.65614193,0.0953436807095344
"173","#003","m1","UV",12985.56887,13.6646216,0.0964523281596452
"174","#006","m1","UV",12985.56887,13.6646216,0.0964523281596452
"175","#970","m1","UV",13130.85227,13.68067294,0.0970066518847007
"176","#022","m1","UV",13151.60704,13.68295148,0.0981152993348115
"177","#970","m1","UV",13151.60704,13.68295148,0.0981152993348115
"178","#022","m1","UV",13158.5253,13.68371019,0.098669623059867
"179","#006","m1","UV",13186.19833,13.68674107,0.0992239467849224
"180","#970","m1","UV",13213.87136,13.68976558,0.0997782705099778
"181","#003","m1","UV",13227.70787,13.69127547,0.100886917960089
"182","#970","m1","UV",13227.70787,13.69127547,0.100886917960089
"183","#970","m1","UV",13276.13567,13.69654766,0.101441241685144
"184","#006","m1","UV",13338.39999,13.703298,0.1019955654102
"185","#006","m1","UV",13386.82779,13.70852651,0.102549889135255
"186","#022","m1","UV",13414.50082,13.71150575,0.10310421286031
"187","#003","m1","UV",13428.33733,13.71299306,0.103658536585366
"188","#006","m1","UV",13462.92862,13.71670466,0.104767184035477
"189","#006","m1","UV",13462.92862,13.71670466,0.104767184035477
