"","mouse_id","month","treatment","clade_volume","ln2volume"
"1","#022","m6","UV",8253.480906,13.01078699
"2","#006","m6","UV",8260.399164,13.01199578
"3","#003","m6","UV",8294.99045,13.0180246
"4","#006","m6","UV",8378.009537,13.03239181
"5","#022","m6","UV",8391.846051,13.0347725
"6","#022","m6","UV",8523.292939,13.0571952
"7","#006","m6","UV",8717.004142,13.08961668
"8","#970","m6","UV",8723.9224,13.09076122
"9","#970","m6","UV",8744.677172,13.09418941
"10","#022","m6","UV",8876.124059,13.11571412
"11","#003","m6","UV",8889.960574,13.11796131
"12","#003","m6","UV",8903.797088,13.120205
"13","#003","m6","UV",8952.224889,13.12803056
"14","#003","m6","UV",9166.690864,13.16218531
"15","#006","m6","UV",9166.690864,13.16218531
"16","#006","m6","UV",9180.527379,13.16436132
"17","#022","m6","UV",9187.445636,13.16544809
"18","#970","m6","UV",9249.709951,13.17519241
"19","#006","m6","UV",9291.219495,13.18165225
"20","#970","m6","UV",9291.219495,13.18165225
"21","#003","m6","UV",9339.647296,13.18915235
"22","#003","m6","UV",9360.402067,13.19235479
"23","#003","m6","UV",9388.075096,13.19661367
"24","#022","m6","UV",9401.911611,13.1987384
"25","#970","m6","UV",9408.829868,13.1997996
"26","#970","m6","UV",9505.68547,13.21457495
"27","#003","m6","UV",9512.603727,13.21562456
"28","#006","m6","UV",9519.521984,13.21667342
"29","#003","m6","UV",9526.440241,13.21772151
"30","#970","m6","UV",9567.949785,13.2239941
"31","#006","m6","UV",9650.968872,13.23645807
"32","#003","m6","UV",9761.660988,13.25291093
"33","#003","m6","UV",9768.579245,13.25393303
"34","#006","m6","UV",9775.497503,13.25495441
"35","#022","m6","UV",9775.497503,13.25495441
"36","#970","m6","UV",9803.170532,13.2590327
"37","#970","m6","UV",9844.680075,13.26512861
"38","#970","m6","UV",9844.680075,13.26512861
"39","#006","m6","UV",9900.026133,13.27321662
"40","#022","m6","UV",9934.61742,13.2782487
"41","#022","m6","UV",10010.71825,13.28925787
"42","#003","m6","UV",10059.14605,13.29622022
"43","#003","m6","UV",10162.91991,13.31102734
"44","#003","m6","UV",10218.26597,13.31886277
"45","#003","m6","UV",10266.69377,13.32568404
"46","#006","m6","UV",10273.61203,13.32665588
