"","mouse_id","month","treatment","structure_volume"
"1","#003","m1","UV",12.9106465388048
"2","#003","m1","UV",14.3865984172855
"3","#003","m1","UV",22.0893840836858
"4","#003","m1","UV",19.1864949477953
"5","#003","m1","UV",13.3809957115331
"6","#003","m1","UV",19.686457191275
"7","#003","m1","UV",17.9092280988045
"8","#003","m1","UV",16.6456664881652
"9","#003","m1","UV",17.7988810538483
"10","#003","m1","UV",16.8784515137649
"11","#003","m1","UV",16.8770425100475
"12","#003","m1","UV",14.9353854853878
"13","#003","m1","UV",14.4083352185395
"14","#003","m1","UV",17.7134110955627
"15","#003","m1","UV",19.175445292534
"16","#003","m1","UV",18.9680033866267
"17","#003","m1","UV",16.6988012826536
"18","#003","m1","UV",14.8361683229125
"19","#003","m1","UV",13.8638808157471
"20","#003","m1","UV",15.0276186221194
"21","#003","m1","UV",12.7790933482018
"22","#003","m1","UV",13.4369673714259
"23","#003","m1","UV",15.037742839535
"24","#003","m1","UV",13.7129930637444
"25","#003","m1","UV",16.5268105927693
"26","#003","m1","UV",15.6227053402562
"27","#003","m1","UV",16.6801977895761
"28","#003","m1","UV",14.8402572111242
"29","#003","m1","UV",13.3884611620415
"30","#003","m1","UV",13.540278089472
"31","#003","m1","UV",14.9870107879874
"32","#003","m1","UV",13.6646215963344
"33","#003","m1","UV",13.0371492599356
"34","#003","m1","UV",15.7131788706477
"35","#003","m1","UV",16.1203451146599
"36","#003","m1","UV",15.0601197825867
"37","#003","m1","UV",13.0746544112402
"38","#003","m1","UV",14.0071545197077
"39","#003","m1","UV",13.0642042606757
"40","#003","m1","UV",15.2544438137721
"41","#003","m1","UV",14.3159294704957
"42","#003","m1","UV",15.9477555967935
"43","#003","m1","UV",14.7551105187533
"44","#003","m1","UV",15.4865068323796
"45","#003","m1","UV",14.0941894093651
"46","#003","m1","UV",21.0532926317478
"47","#003","m1","UV",21.0532926317478
"48","#003","m1","UV",21.0532926317478
"49","#003","m1","UV",20.4182773610061
"50","#003","m1","UV",14.00533484961
"51","#003","m1","UV",20.657856336294
"52","#003","m1","UV",15.6995517087038
"53","#003","m1","UV",17.2343882038473
"54","#003","m1","UV",17.4129181159231
