"","mouse_id","month","treatment","structure_volume"
"1","#003","m2","UV",11.4338848973449
"2","#003","m2","UV",11.7350094567494
"3","#003","m2","UV",10.6819925047587
"4","#003","m2","UV",13.5386835544255
"5","#003","m2","UV",12.0533674842707
"6","#003","m2","UV",11.9355945234687
"7","#003","m2","UV",12.2497610995073
"8","#003","m2","UV",11.3233196857678
"9","#003","m2","UV",11.5439513041789
"10","#003","m2","UV",11.5738161031659
"11","#003","m2","UV",11.154751584759
"12","#003","m2","UV",12.3108998080305
"13","#003","m2","UV",13.5143647586762
"14","#003","m2","UV",13.4036598033939
"15","#003","m2","UV",12.0822433311645
"16","#003","m2","UV",11.586686959679
"17","#003","m2","UV",9.492680639358
"18","#003","m2","UV",11.3590509723164
"19","#003","m2","UV",11.4989567443856
"20","#003","m2","UV",10.4955653423782
"21","#003","m2","UV",11.4457193549524
"22","#003","m2","UV",12.8796051986259
"23","#003","m2","UV",12.6008609289891
"24","#003","m2","UV",10.1545669960992
"25","#003","m2","UV",10.2299620071177
"26","#003","m2","UV",10.0391694336394
"27","#003","m2","UV",11.0402542469512
"28","#003","m2","UV",12.489611984951
"29","#003","m2","UV",13.7115667760429
"30","#003","m2","UV",9.44950846731538
"31","#003","m2","UV",10.7230622057131
"32","#003","m2","UV",11.9389888824284
"33","#003","m2","UV",12.5053782522097
"34","#003","m2","UV",12.1168728305651
"35","#003","m2","UV",11.4317862607223
"36","#003","m2","UV",10.9808081755405
"37","#003","m2","UV",10.5201366030201
"38","#003","m2","UV",10.8924467067234
"39","#003","m2","UV",10.542476681048
"40","#003","m2","UV",10.0961096956683
"41","#003","m2","UV",10.6479102267502
"42","#003","m2","UV",10.1478165992494
"43","#003","m2","UV",9.61156432709608
"44","#003","m2","UV",9.80165246524655
"45","#003","m2","UV",9.60970989905419
"46","#003","m2","UV",9.92643253940568
"47","#003","m2","UV",10.1336280937237
"48","#003","m2","UV",9.54253837061418
"49","#003","m2","UV",10.2900139371557
"50","#003","m2","UV",10.5364332600208
"51","#003","m2","UV",9.0626598419468
"52","#003","m2","UV",8.88306111864137
"53","#003","m2","UV",11.4653551239939
"54","#003","m2","UV",10.0668703860114
"55","#003","m2","UV",9.50047491117146
"56","#003","m2","UV",10.3770644830548
"57","#003","m2","UV",9.39522941079888
"58","#003","m2","UV",10.4346177637717
"59","#003","m2","UV",8.91888021634768
"60","#003","m2","UV",9.11803461131136
"61","#003","m2","UV",9.17839141185571
"62","#003","m2","UV",9.52552094269042
"63","#003","m2","UV",10.017492505105
"64","#003","m2","UV",9.83591141504319
"65","#003","m2","UV",9.59757156132129
"66","#003","m2","UV",9.40096337125077
"67","#003","m2","UV",9.87010899976233
"68","#003","m2","UV",9.35354447895168
"69","#003","m2","UV",12.5543686610355
"70","#003","m2","UV",12.8116637692439
"71","#003","m2","UV",12.1397910065784
"72","#003","m2","UV",13.3113612719413
"73","#003","m2","UV",13.3113612719413
"74","#003","m2","UV",13.4100311083033
"75","#003","m2","UV",13.4100311083033
"76","#003","m2","UV",11.1029528411597
"77","#003","m2","UV",11.0800724080757
"78","#003","m2","UV",13.421997168823
"79","#003","m2","UV",11.1995604740604
"80","#003","m2","UV",13.2394869188422
"81","#003","m2","UV",10.4071961918424
"82","#003","m2","UV",12.0266589384404
"83","#003","m2","UV",12.2438163121371
"84","#003","m2","UV",10.5137683479282
"85","#003","m2","UV",12.4602420358591
"86","#003","m2","UV",11.410860553948
"87","#003","m2","UV",11.5859798136147
"88","#003","m2","UV",11.6761907828509
"89","#003","m2","UV",9.88325539631561
"90","#003","m2","UV",9.29299479445924
"91","#003","m2","UV",11.404866530074
"92","#003","m2","UV",12.4933044251153
"93","#003","m2","UV",10.5726893728743
"94","#003","m2","UV",11.2498547838592
"95","#003","m2","UV",12.5274430056935
"96","#003","m2","UV",10.3035528931048
"97","#003","m2","UV",10.6104100174493
"98","#003","m2","UV",9.42525148960655
"99","#003","m2","UV",12.401771363627
"100","#003","m2","UV",11.6711835558237
"101","#003","m2","UV",11.5113671386102
"102","#003","m2","UV",10.7903974523831
"103","#003","m2","UV",10.5391847980621
"104","#003","m2","UV",9.99501964936449
"105","#003","m2","UV",11.0342428739359
"106","#003","m2","UV",10.5331213894844
"107","#003","m2","UV",9.60038582185076
"108","#003","m2","UV",12.5143389081606
"109","#003","m2","UV",11.5158609063434
"110","#003","m2","UV",11.3166913105342
"111","#003","m2","UV",11.7334569197287
"112","#003","m2","UV",11.1778423278834
"113","#003","m2","UV",11.331730444396
"114","#003","m2","UV",14.3566696283234
"115","#003","m2","UV",11.6578068216231
"116","#003","m2","UV",12.3502654722403
"117","#003","m2","UV",11.1726056984094
"118","#003","m2","UV",12.2000350669781
"119","#003","m2","UV",14.1826876084208
"120","#003","m2","UV",14.1826876084208
"121","#003","m2","UV",12.2283751000648
"122","#003","m2","UV",13.3416955117682
"123","#003","m2","UV",14.4811275727725
"124","#003","m2","UV",11.3484242245801
"125","#003","m2","UV",11.7847779588698
"126","#003","m2","UV",11.9103906273404
"127","#003","m2","UV",8.99635552861093
"128","#003","m2","UV",11.5243780263159
"129","#003","m2","UV",10.2722304218097
"130","#003","m2","UV",10.8409637798093
"131","#003","m2","UV",10.2996035324226
"132","#003","m2","UV",10.877539437422
"133","#003","m2","UV",11.4902193720001
"134","#003","m2","UV",11.8688109113378
"135","#003","m2","UV",11.6239011421594
"136","#003","m2","UV",14.0341201849596
"137","#003","m2","UV",11.3673277683618
"138","#003","m2","UV",13.783533026037
"139","#003","m2","UV",12.5752699570257
"140","#003","m2","UV",13.0216154044855
"141","#003","m2","UV",10.6081898817282
"142","#003","m2","UV",10.8447496146431
"143","#003","m2","UV",9.74411098300266
"144","#003","m2","UV",11.2723696393036
"145","#003","m2","UV",11.2483235969341
"146","#003","m2","UV",11.9109483778484
"147","#003","m2","UV",12.0188056576255
"148","#003","m2","UV",10.8920606312094
"149","#003","m2","UV",11.1594913981399
"150","#003","m2","UV",10.9640609464817
"151","#003","m2","UV",12.2018083332608
"152","#003","m2","UV",11.1970018372141
"153","#003","m2","UV",11.2939582214796
"154","#003","m2","UV",9.56559556073933
"155","#003","m2","UV",11.5440854332048
"156","#003","m2","UV",11.4225147210744
"157","#003","m2","UV",10.542476681048
"158","#003","m2","UV",11.251383629835
"159","#003","m2","UV",11.4630307240454
"160","#003","m2","UV",9.78426744153143
"161","#003","m2","UV",11.1310136781211
"162","#003","m2","UV",9.96424799054089
"163","#003","m2","UV",9.94485543531227
"164","#003","m2","UV",11.1176468141421
"165","#003","m2","UV",9.90109739488374
"166","#003","m2","UV",9.8161013855033
"167","#003","m2","UV",12.8358354826332
"168","#003","m2","UV",9.31192280455766
"169","#003","m2","UV",11.1742572264008
"170","#003","m2","UV",9.36071296868408
"171","#003","m2","UV",9.95114164304676
"172","#003","m2","UV",9.66477796223602
"173","#003","m2","UV",10.2158878867615
"174","#003","m2","UV",11.323403308208
"175","#003","m2","UV",11.1620494474243
"176","#003","m2","UV",10.5837878749601
"177","#003","m2","UV",9.11423377058236
"178","#003","m2","UV",9.85751210802403
"179","#003","m2","UV",9.55780584310364
"180","#003","m2","UV",9.78738028462134
"181","#003","m2","UV",9.48849871989038
"182","#003","m2","UV",8.99635552861093
"183","#003","m2","UV",9.54005389701885
"184","#003","m2","UV",10.6642078496411
"185","#003","m2","UV",9.88290235115871
"186","#003","m2","UV",9.12860074739486
"187","#003","m2","UV",10.3175970976049
"188","#003","m2","UV",8.98774962346335
"189","#003","m2","UV",9.56559556073933
"190","#003","m2","UV",9.28596376515636
"191","#003","m2","UV",9.38074899572259
"192","#003","m2","UV",11.956234164717
"193","#003","m2","UV",11.913917804479
"194","#003","m2","UV",13.4327267103504
"195","#003","m2","UV",12.1503797296175
"196","#003","m2","UV",10.9915861618284
"197","#003","m2","UV",12.0955441923909
"198","#003","m2","UV",12.327917158654
"199","#003","m2","UV",11.9173402476797
"200","#003","m2","UV",11.8654125199306
"201","#003","m2","UV",13.8980439539124
"202","#003","m2","UV",11.3669275602052
"203","#003","m2","UV",14.2182572064069
"204","#003","m2","UV",9.85097138706221
"205","#003","m2","UV",12.3048386153895
"206","#003","m2","UV",10.6875353174089
"207","#003","m2","UV",10.3307701247667
"208","#003","m2","UV",12.1929804875179
"209","#003","m2","UV",11.1471008941365
"210","#003","m2","UV",11.9358664963504
"211","#003","m2","UV",12.2802838811735
"212","#003","m2","UV",13.3535915380963
"213","#003","m2","UV",11.9821845996486
"214","#003","m2","UV",10.0156389366138
"215","#003","m2","UV",12.8831793662736
"216","#003","m2","UV",10.8055289014508
"217","#003","m2","UV",10.9957722144324
"218","#003","m2","UV",10.1923272577974
"219","#003","m2","UV",11.1650909018889
"220","#003","m2","UV",9.50099237581246
"221","#003","m2","UV",12.0597144167895
"222","#003","m2","UV",10.2133536736392
