,mouse_id,month,treatment,structure_volume
10815,#317,m1,No UV,9.419765281
5250,#258,m1,No UV,11.27018893
12547,#974,m1,No UV,11.88844074
5242,#258,m1,No UV,12.75763492
6382,#263,m1,No UV,12.75907545
8704,#289,m1,No UV,12.75907545
2927,#009,m1,No UV,12.76051455
10674,#317,m1,No UV,12.76051455
714,#003,m1,No UV,12.76195222
5822,#258,m1,No UV,12.76195222
8923,#289,m1,No UV,12.76195222
11551,#970,m1,No UV,12.76195222
12337,#974,m1,No UV,12.76195222
8060,#282,m1,No UV,12.76482325
967,#003,m1,No UV,12.76625663
5270,#258,m1,No UV,12.76911912
7992,#282,m1,No UV,12.76911912
9230,#291,m1,No UV,12.76911912
12263,#974,m1,No UV,12.77054824
12237,#974,m1,No UV,12.77197594
3199,#009,m1,No UV,12.77340224
6818,#263,m1,No UV,12.77340224
9817,#303,m1,No UV,12.77340224
2780,#009,m1,No UV,12.7762506
8696,#289,m1,No UV,12.7762506
5774,#258,m1,No UV,12.77767267
6783,#263,m1,No UV,12.77767267
9869,#303,m1,No UV,12.77767267
5387,#258,m1,No UV,12.77909335
5567,#258,m1,No UV,12.78051263
12260,#974,m1,No UV,12.78051263
3877,#022,m1,No UV,12.78193051
6474,#263,m1,No UV,12.783347
11492,#970,m1,No UV,12.783347
12476,#974,m1,No UV,12.783347
2910,#009,m1,No UV,12.7847621
10444,#317,m1,No UV,12.7847621
10568,#317,m1,No UV,12.78617581
5821,#258,m1,No UV,12.78758814
8210,#282,m1,No UV,12.78758814
11637,#970,m1,No UV,12.78758814
3824,#022,m1,No UV,12.78899909
5385,#258,m1,No UV,12.78899909
7929,#282,m1,No UV,12.79040866
10590,#317,m1,No UV,12.79040866
6354,#263,m1,No UV,12.79181686
6813,#263,m1,No UV,12.79181686
982,#003,m1,No UV,12.79462913
6429,#263,m1,No UV,12.79462913
977,#003,m1,No UV,12.79603321
4111,#131,m1,No UV,12.79743593
6864,#263,m1,No UV,12.79743593
5738,#258,m1,No UV,12.80023728
4096,#131,m1,No UV,12.80163592
914,#003,m1,No UV,12.8030332
1883,#006,m1,No UV,12.8030332
5245,#258,m1,No UV,12.8030332
8167,#282,m1,No UV,12.8030332
6444,#263,m1,No UV,12.80442913
7179,#281,m1,No UV,12.80442913
8729,#289,m1,No UV,12.80442913
11708,#970,m1,No UV,12.80442913
6243,#263,m1,No UV,12.80582371
2860,#009,m1,No UV,12.80999939
5566,#258,m1,No UV,12.80999939
10783,#317,m1,No UV,12.80999939
6861,#263,m1,No UV,12.8113886
4092,#131,m1,No UV,12.81277647
11631,#970,m1,No UV,12.81554822
720,#003,m1,No UV,12.8169321
1818,#006,m1,No UV,12.8169321
8081,#282,m1,No UV,12.8169321
11684,#970,m1,No UV,12.8169321
9220,#291,m1,No UV,12.82245439
9322,#291,m1,No UV,12.82245439
11670,#970,m1,No UV,12.82383166
12367,#974,m1,No UV,12.82383166
5819,#258,m1,No UV,12.82520762
6773,#263,m1,No UV,12.83069838
9149,#291,m1,No UV,12.83069838
10735,#317,m1,No UV,12.83069838
12731,#974,m1,No UV,12.83069838
10489,#317,m1,No UV,12.83343595
3792,#022,m1,No UV,12.83616832
11487,#970,m1,No UV,12.83616832
1576,#006,m1,No UV,12.83753257
3097,#009,m1,No UV,12.83753257
12616,#974,m1,No UV,12.83753257
12657,#974,m1,No UV,12.83753257
7997,#282,m1,No UV,12.83889554
7928,#282,m1,No UV,12.84025721
8899,#289,m1,No UV,12.84025721
11624,#970,m1,No UV,12.84025721
1773,#006,m1,No UV,12.8416176
5629,#258,m1,No UV,12.8416176
3126,#009,m1,No UV,12.84297671
8920,#289,m1,No UV,12.84297671
10648,#317,m1,No UV,12.84433454
5587,#258,m1,No UV,12.8456911
915,#003,m1,No UV,12.84840038
1729,#006,m1,No UV,12.84840038
10003,#303,m1,No UV,12.84840038
12541,#974,m1,No UV,12.8524548
851,#003,m1,No UV,12.85380374
11529,#970,m1,No UV,12.85380374
6379,#263,m1,No UV,12.85918694
8116,#282,m1,No UV,12.86052961
9327,#291,m1,No UV,12.86052961
2840,#009,m1,No UV,12.86187102
12595,#974,m1,No UV,12.8632112
6375,#263,m1,No UV,12.86455012
12537,#974,m1,No UV,12.86455012
1558,#006,m1,No UV,12.86588781
10742,#317,m1,No UV,12.86588781
11688,#970,m1,No UV,12.86588781
769,#003,m1,No UV,12.86722426
8133,#282,m1,No UV,12.86722426
6247,#263,m1,No UV,12.86855947
10074,#303,m1,No UV,12.86855947
12196,#974,m1,No UV,12.86855947
6534,#263,m1,No UV,12.86989345
6613,#263,m1,No UV,12.86989345
5202,#258,m1,No UV,12.87122619
8928,#289,m1,No UV,12.87122619
905,#003,m1,No UV,12.87388799
3149,#009,m1,No UV,12.87388799
6360,#263,m1,No UV,12.8791969
9840,#303,m1,No UV,12.8791969
9951,#303,m1,No UV,12.8791969
12553,#974,m1,No UV,12.8791969
9825,#303,m1,No UV,12.88052108
5208,#258,m1,No UV,12.88184405
10817,#317,m1,No UV,12.88184405
11800,#970,m1,No UV,12.8831658
1808,#006,m1,No UV,12.88448635
6281,#263,m1,No UV,12.88448635
12413,#974,m1,No UV,12.88448635
5748,#258,m1,No UV,12.88844074
6701,#263,m1,No UV,12.89369647
10053,#303,m1,No UV,12.89369647
3728,#022,m1,No UV,12.89500742
1850,#006,m1,No UV,12.89631717
2855,#009,m1,No UV,12.89762574
7275,#281,m1,No UV,12.89762574
581,#003,m1,No UV,12.89893312
5680,#258,m1,No UV,12.90023932
2879,#009,m1,No UV,12.90154433
12385,#974,m1,No UV,12.90154433
5435,#258,m1,No UV,12.90284817
4182,#131,m1,No UV,12.90415083
5433,#258,m1,No UV,12.90545231
5714,#258,m1,No UV,12.90545231
12681,#974,m1,No UV,12.90545231
2566,#009,m1,No UV,12.90675262
5701,#258,m1,No UV,12.90675262
8642,#289,m1,No UV,12.90675262
10076,#303,m1,No UV,12.90675262
4094,#131,m1,No UV,12.90805176
8067,#282,m1,No UV,12.90934973
12261,#974,m1,No UV,12.90934973
12424,#974,m1,No UV,12.90934973
3207,#009,m1,No UV,12.91323666
11408,#970,m1,No UV,12.91452997
2605,#009,m1,No UV,12.91582213
6255,#263,m1,No UV,12.91582213
6305,#263,m1,No UV,12.91582213
6210,#263,m1,No UV,12.91711313
11539,#970,m1,No UV,12.91840298
4122,#131,m1,No UV,12.91969168
11685,#970,m1,No UV,12.91969168
4075,#131,m1,No UV,12.92355087
8006,#282,m1,No UV,12.92483498
1570,#006,m1,No UV,12.92611795
9317,#291,m1,No UV,12.92611795
8075,#282,m1,No UV,12.92739977
9955,#303,m1,No UV,12.92739977
533,#003,m1,No UV,12.92996001
6648,#263,m1,No UV,12.92996001
8877,#289,m1,No UV,12.92996001
830,#003,m1,No UV,12.93123843
5373,#258,m1,No UV,12.93123843
11351,#970,m1,No UV,12.93251572
12254,#974,m1,No UV,12.93251572
747,#003,m1,No UV,12.93379188
3742,#022,m1,No UV,12.93379188
1730,#006,m1,No UV,12.9350669
3677,#022,m1,No UV,12.9350669
4179,#131,m1,No UV,12.9350669
1686,#006,m1,No UV,12.93761359
8730,#289,m1,No UV,12.93761359
3874,#022,m1,No UV,12.93888524
11613,#970,m1,No UV,12.93888524
10495,#317,m1,No UV,12.94015578
519,#003,m1,No UV,12.9414252
3998,#022,m1,No UV,12.9426935
2856,#009,m1,No UV,12.94396069
6802,#263,m1,No UV,12.94522677
9303,#291,m1,No UV,12.94522677
1870,#006,m1,No UV,12.94649174
3669,#022,m1,No UV,12.94649174
3884,#022,m1,No UV,12.94649174
7932,#282,m1,No UV,12.94649174
5431,#258,m1,No UV,12.9477556
10784,#317,m1,No UV,12.9477556
10531,#317,m1,No UV,12.94901835
2742,#009,m1,No UV,12.95028
8927,#289,m1,No UV,12.95028
2591,#009,m1,No UV,12.95154054
6245,#263,m1,No UV,12.95154054
12661,#974,m1,No UV,12.95154054
10639,#317,m1,No UV,12.95405834
9884,#303,m1,No UV,12.95531559
3197,#009,m1,No UV,12.95908078
6732,#263,m1,No UV,12.95908078
6849,#263,m1,No UV,12.95908078
10527,#317,m1,No UV,12.95908078
12414,#974,m1,No UV,12.95908078
7231,#281,m1,No UV,12.96033366
1757,#006,m1,No UV,12.96158546
10565,#317,m1,No UV,12.96158546
12730,#974,m1,No UV,12.96158546
1564,#006,m1,No UV,12.96283617
6798,#263,m1,No UV,12.96283617
2902,#009,m1,No UV,12.9640858
5313,#258,m1,No UV,12.9640858
1824,#006,m1,No UV,12.96533434
4188,#131,m1,No UV,12.96658181
5306,#258,m1,No UV,12.96658181
10447,#317,m1,No UV,12.96658181
12302,#974,m1,No UV,12.96658181
12195,#974,m1,No UV,12.9678282
12268,#974,m1,No UV,12.9678282
11697,#970,m1,No UV,12.96907351
1727,#006,m1,No UV,12.97031775
1554,#006,m1,No UV,12.97156092
512,#003,m1,No UV,12.97280301
3021,#009,m1,No UV,12.97404404
9321,#291,m1,No UV,12.975284
8008,#282,m1,No UV,12.9765229
8912,#289,m1,No UV,12.9765229
835,#003,m1,No UV,12.97899751
1518,#006,m1,No UV,12.97899751
12381,#974,m1,No UV,12.98146788
7175,#281,m1,No UV,12.98393402
9319,#291,m1,No UV,12.98516552
3737,#022,m1,No UV,12.98762535
3124,#009,m1,No UV,12.9888537
6663,#263,m1,No UV,12.9888537
4173,#131,m1,No UV,12.99008101
6440,#263,m1,No UV,12.99130727
6621,#263,m1,No UV,12.99253249
10370,#317,m1,No UV,12.99253249
10398,#317,m1,No UV,12.99375666
8832,#289,m1,No UV,12.99497981
4232,#131,m1,No UV,12.99620191
8804,#289,m1,No UV,12.99620191
2736,#009,m1,No UV,12.99742298
10739,#317,m1,No UV,12.99864302
946,#003,m1,No UV,13.00108001
2951,#009,m1,No UV,13.00108001
11481,#970,m1,No UV,13.00108001
11736,#970,m1,No UV,13.00108001
6479,#263,m1,No UV,13.00351288
12299,#974,m1,No UV,13.00351288
11599,#970,m1,No UV,13.00472778
5569,#258,m1,No UV,13.00594166
12373,#974,m1,No UV,13.00594166
5624,#258,m1,No UV,13.00715452
3711,#022,m1,No UV,13.00836636
5673,#258,m1,No UV,13.00836636
8053,#282,m1,No UV,13.00836636
995,#003,m1,No UV,13.00957718
9842,#303,m1,No UV,13.00957718
1719,#006,m1,No UV,13.01320356
6723,#263,m1,No UV,13.01320356
7273,#281,m1,No UV,13.01441034
10379,#317,m1,No UV,13.01441034
521,#003,m1,No UV,13.0156161
2995,#009,m1,No UV,13.01682085
3113,#009,m1,No UV,13.01682085
3076,#009,m1,No UV,13.0180246
4023,#131,m1,No UV,13.01922735
6618,#263,m1,No UV,13.01922735
9824,#303,m1,No UV,13.01922735
591,#003,m1,No UV,13.0204291
5376,#258,m1,No UV,13.0204291
5501,#258,m1,No UV,13.0204291
8113,#282,m1,No UV,13.02162984
8640,#289,m1,No UV,13.02162984
10675,#317,m1,No UV,13.02162984
3955,#022,m1,No UV,13.02282959
6516,#263,m1,No UV,13.02402834
1553,#006,m1,No UV,13.02522609
619,#003,m1,No UV,13.02642285
7124,#281,m1,No UV,13.02642285
9935,#303,m1,No UV,13.0288134
11480,#970,m1,No UV,13.0288134
788,#003,m1,No UV,13.03000719
8176,#282,m1,No UV,13.03000719
11484,#970,m1,No UV,13.03000719
814,#003,m1,No UV,13.03119999
3919,#022,m1,No UV,13.03119999
6801,#263,m1,No UV,13.03119999
1514,#006,m1,No UV,13.03358264
