,mouse_id,month,treatment,structure_volume
9264,#009,m3,UV,13.00108001
9355,#009,m3,UV,13.00108001
16619,#131,m1,UV,13.00108001
32320,#970,m5,UV,13.00108001
262,#003,m1,UV,13.00229696
14017,#022,m3,UV,13.00229696
16681,#131,m1,UV,13.00351288
3174,#003,m5,UV,13.00472778
17555,#258,m1,UV,13.00472778
5068,#006,m2,UV,13.00594166
14795,#022,m4,UV,13.00594166
16656,#131,m1,UV,13.00594166
26829,#303,m1,UV,13.00594166
34129,#974,m3,UV,13.00594166
233,#003,m1,UV,13.00715452
1248,#003,m2,UV,13.00715452
3260,#003,m5,UV,13.00715452
10194,#009,m4,UV,13.00715452
12748,#022,m1,UV,13.00715452
23788,#289,m1,UV,13.00715452
6710,#006,m5,UV,13.00836636
32332,#970,m5,UV,13.00836636
15647,#022,m5,UV,13.00957718
16429,#131,m1,UV,13.00957718
26867,#303,m1,UV,13.00957718
4186,#006,m1,UV,13.01078699
12153,#022,m6,UV,13.01078699
17533,#258,m1,UV,13.01078699
22781,#282,m1,UV,13.01078699
7276,#006,m6,UV,13.01199578
9349,#009,m3,UV,13.01199578
16572,#131,m1,UV,13.01199578
21070,#263,m2,UV,13.01199578
26823,#303,m1,UV,13.01199578
393,#003,m1,UV,13.01320356
6602,#006,m5,UV,13.01320356
8109,#009,m1,UV,13.01320356
27838,#303,m3,UV,13.01320356
29216,#317,m3,UV,13.01320356
32725,#974,m1,UV,13.01320356
21000,#263,m2,UV,13.01441034
24544,#289,m2,UV,13.01441034
30991,#970,m2,UV,13.01441034
29287,#317,m3,UV,13.0156161
30038,#970,m1,UV,13.0156161
4392,#006,m1,UV,13.01682085
3618,#003,m6,UV,13.0180246
15563,#022,m5,UV,13.0180246
32774,#974,m1,UV,13.0180246
11149,#009,m2,UV,13.01922735
14194,#022,m3,UV,13.01922735
14749,#022,m4,UV,13.01922735
19938,#263,m1,UV,13.01922735
31582,#970,m3,UV,13.01922735
5225,#006,m2,UV,13.0204291
9108,#009,m3,UV,13.0204291
11071,#009,m2,UV,13.0204291
14202,#022,m3,UV,13.0204291
21059,#263,m2,UV,13.02162984
32394,#970,m5,UV,13.02162984
7938,#009,m1,UV,13.02282959
20891,#263,m2,UV,13.02282959
14656,#022,m4,UV,13.02402834
14776,#022,m4,UV,13.02402834
17043,#131,m2,UV,13.02402834
20133,#263,m1,UV,13.02402834
17152,#131,m3,UV,13.02522609
19348,#263,m3,UV,13.02522609
33672,#974,m2,UV,13.02522609
25762,#291,m2,UV,13.02642285
7706,#009,m1,UV,13.0288134
19870,#263,m1,UV,13.0288134
6037,#006,m4,UV,13.03000719
10901,#009,m2,UV,13.03000719
18091,#258,m1,UV,13.03000719
31937,#970,m4,UV,13.03000719
3293,#003,m5,UV,13.03119999
7172,#006,m6,UV,13.03239181
9374,#009,m3,UV,13.03239181
14903,#022,m4,UV,13.03239181
