"","mouse_id","month","treatment","structure_volume","distribution_volume"
"1","#003","m1","UV",14.3865984172855,0.000232497311749833
"2","#003","m1","UV",22.0893840836858,0.000232497311749833
"3","#003","m1","UV",19.1864949477953,0.000232497311749833
"4","#003","m1","UV",13.3809957115331,0.000232497311749833
"5","#003","m1","UV",19.686457191275,0.000232497311749833
"6","#003","m1","UV",17.9092280988045,0.000232497311749833
"7","#003","m1","UV",16.6456664881652,0.000232497311749833
"8","#003","m1","UV",17.7988810538483,0.000232497311749833
"9","#003","m1","UV",16.8784515137649,0.00031968380365602
"10","#003","m1","UV",16.8770425100475,0.00031968380365602
"11","#003","m1","UV",14.9353854853878,0.00031968380365602
"12","#003","m1","UV",14.4083352185395,0.000523118951437124
"13","#003","m1","UV",17.7134110955627,0.000523118951437124
"14","#003","m1","UV",19.175445292534,0.000523118951437124
"15","#003","m1","UV",18.9680033866267,0.000523118951437124
"16","#003","m1","UV",16.6988012826536,0.000523118951437124
"17","#003","m1","UV",14.8361683229125,0.000523118951437124
"18","#003","m1","UV",13.8638808157471,0.000523118951437124
"19","#003","m1","UV",15.0276186221194,0.00066842977128077
"20","#003","m1","UV",13.4369673714259,0.00066842977128077
"21","#003","m1","UV",15.037742839535,0.00066842977128077
"22","#003","m1","UV",13.7129930637444,0.00066842977128077
"23","#003","m1","UV",16.5268105927693,0.00066842977128077
"24","#003","m1","UV",15.6227053402562,0.000871864919061873
"25","#003","m1","UV",16.6801977895761,0.000871864919061873
"26","#003","m1","UV",14.8402572111242,0.000871864919061873
"27","#003","m1","UV",13.3884611620415,0.000871864919061873
"28","#003","m1","UV",13.540278089472,0.000871864919061873
"29","#003","m1","UV",14.9870107879874,0.000871864919061873
"30","#003","m1","UV",13.6646215963344,0.000871864919061873
"31","#003","m1","UV",13.0371492599356,0.00110436223081171
"32","#003","m1","UV",15.7131788706477,0.00110436223081171
"33","#003","m1","UV",16.1203451146599,0.00110436223081171
"34","#003","m1","UV",15.0601197825867,0.00110436223081171
"35","#003","m1","UV",13.0746544112402,0.00110436223081171
"36","#003","m1","UV",14.0071545197077,0.00110436223081171
"37","#003","m1","UV",13.0642042606757,0.00110436223081171
"38","#003","m1","UV",15.2544438137721,0.00110436223081171
"39","#003","m1","UV",14.3159294704957,0.00130779737859281
"40","#003","m1","UV",15.9477555967935,0.00130779737859281
"41","#003","m1","UV",14.7551105187533,0.00130779737859281
"42","#003","m1","UV",15.4865068323796,0.00130779737859281
"43","#003","m1","UV",14.0941894093651,0.00130779737859281
"44","#003","m1","UV",21.0532926317478,0.00130779737859281
"45","#003","m1","UV",21.0532926317478,0.00130779737859281
"46","#003","m1","UV",21.0532926317478,0.00156935685431137
"47","#003","m1","UV",20.4182773610061,0.00156935685431137
"48","#003","m1","UV",14.00533484961,0.00156935685431137
"49","#003","m1","UV",20.657856336294,0.00156935685431137
"50","#003","m1","UV",15.6995517087038,0.00156935685431137
"51","#003","m1","UV",17.2343882038473,0.00156935685431137
"52","#003","m1","UV",17.4129181159231,0.00156935685431137
"53","#003","m1","UV",18.0936542917989,0.00156935685431137
"54","#003","m1","UV",16.1388601988549,0.00156935685431137
"55","#003","m1","UV",18.3195341479935,0.00183091633002993
"56","#003","m1","UV",17.7410556810818,0.00183091633002993
"57","#003","m1","UV",17.1876821932421,0.00183091633002993
"58","#003","m1","UV",15.0234290879072,0.00183091633002993
"59","#003","m1","UV",14.5896902829488,0.00183091633002993
"60","#003","m1","UV",17.3903215037961,0.00183091633002993
"61","#003","m1","UV",15.1443824834603,0.00183091633002993
"62","#003","m1","UV",14.7844084533838,0.00183091633002993
"63","#003","m1","UV",13.9151761970245,0.00183091633002993
"64","#003","m1","UV",17.9167098200358,0.0020924758057485
"65","#003","m1","UV",16.574123127344,0.0020924758057485
"66","#003","m1","UV",16.6025859669594,0.0020924758057485
"67","#003","m1","UV",16.3069705086061,0.0020924758057485
"68","#003","m1","UV",14.9034996446997,0.0020924758057485
"69","#003","m1","UV",16.0769664230166,0.0020924758057485
"70","#003","m1","UV",13.9527999901378,0.0020924758057485
"71","#003","m1","UV",18.5156683963942,0.0020924758057485
"72","#003","m1","UV",15.8028586139676,0.0020924758057485
"73","#003","m1","UV",17.3397120302251,0.00241215960940452
"74","#003","m1","UV",14.7299878756808,0.00241215960940452
"75","#003","m1","UV",14.3701959909344,0.00241215960940452
"76","#003","m1","UV",13.3021613146797,0.00241215960940452
"77","#003","m1","UV",16.8988514414536,0.00241215960940452
"78","#003","m1","UV",13.7897040481639,0.00241215960940452
"79","#003","m1","UV",14.5119351252399,0.00241215960940452
