,mouse_id,month,treatment,structure_volume,distribution_volume
1,#003,m1,UV,14.38659842,0.000232497
2,#003,m1,UV,22.08938408,0.000232497
3,#003,m1,UV,19.18649495,0.000232497
4,#003,m1,UV,13.38099571,0.000232497
5,#003,m1,UV,19.68645719,0.000232497
6,#003,m1,UV,17.9092281,0.000232497
7,#003,m1,UV,16.64566649,0.000232497
8,#003,m1,UV,17.79888105,0.000232497
9,#003,m1,UV,16.87845151,0.000319684
10,#003,m1,UV,16.87704251,0.000319684
11,#003,m1,UV,14.93538549,0.000319684
12,#003,m1,UV,14.40833522,0.000523119
13,#003,m1,UV,17.7134111,0.000523119
14,#003,m1,UV,19.17544529,0.000523119
15,#003,m1,UV,18.96800339,0.000523119
16,#003,m1,UV,16.69880128,0.000523119
17,#003,m1,UV,14.83616832,0.000523119
18,#003,m1,UV,13.86388082,0.000523119
19,#003,m1,UV,15.02761862,0.00066843
20,#003,m1,UV,13.43696737,0.00066843
21,#003,m1,UV,15.03774284,0.00066843
22,#003,m1,UV,13.71299306,0.00066843
23,#003,m1,UV,16.52681059,0.00066843
24,#003,m1,UV,15.62270534,0.000871865
25,#003,m1,UV,16.68019779,0.000871865
26,#003,m1,UV,14.84025721,0.000871865
27,#003,m1,UV,13.38846116,0.000871865
28,#003,m1,UV,13.54027809,0.000871865
29,#003,m1,UV,14.98701079,0.000871865
30,#003,m1,UV,13.6646216,0.000871865
31,#003,m1,UV,13.03714926,0.001104362
32,#003,m1,UV,15.71317887,0.001104362
33,#003,m1,UV,16.12034511,0.001104362
34,#003,m1,UV,15.06011978,0.001104362
35,#003,m1,UV,13.07465441,0.001104362
36,#003,m1,UV,14.00715452,0.001104362
37,#003,m1,UV,13.06420426,0.001104362
38,#003,m1,UV,15.25444381,0.001104362
39,#003,m1,UV,14.31592947,0.001307797
40,#003,m1,UV,15.9477556,0.001307797
41,#003,m1,UV,14.75511052,0.001307797
42,#003,m1,UV,15.48650683,0.001307797
43,#003,m1,UV,14.09418941,0.001307797
44,#003,m1,UV,21.05329263,0.001307797
45,#003,m1,UV,21.05329263,0.001307797
46,#003,m1,UV,21.05329263,0.001569357
47,#003,m1,UV,20.41827736,0.001569357
48,#003,m1,UV,14.00533485,0.001569357
49,#003,m1,UV,20.65785634,0.001569357
50,#003,m1,UV,15.69955171,0.001569357
51,#003,m1,UV,17.2343882,0.001569357
52,#003,m1,UV,17.41291812,0.001569357
53,#003,m1,UV,18.09365429,0.001569357
54,#003,m1,UV,16.1388602,0.001569357
55,#003,m1,UV,18.31953415,0.001830916
56,#003,m1,UV,17.74105568,0.001830916
57,#003,m1,UV,17.18768219,0.001830916
58,#003,m1,UV,15.02342909,0.001830916
59,#003,m1,UV,14.58969028,0.001830916
60,#003,m1,UV,17.3903215,0.001830916
61,#003,m1,UV,15.14438248,0.001830916
62,#003,m1,UV,14.78440845,0.001830916
63,#003,m1,UV,13.9151762,0.001830916
64,#003,m1,UV,17.91670982,0.002092476
65,#003,m1,UV,16.57412313,0.002092476
66,#003,m1,UV,16.60258597,0.002092476
67,#003,m1,UV,16.30697051,0.002092476
68,#003,m1,UV,14.90349964,0.002092476
69,#003,m1,UV,16.07696642,0.002092476
70,#003,m1,UV,13.95279999,0.002092476
71,#003,m1,UV,18.5156684,0.002092476
72,#003,m1,UV,15.80285861,0.002092476
73,#003,m1,UV,17.33971203,0.00241216
74,#003,m1,UV,14.72998788,0.00241216
75,#003,m1,UV,14.37019599,0.00241216
76,#003,m1,UV,13.30216131,0.00241216
77,#003,m1,UV,16.89885144,0.00241216
78,#003,m1,UV,13.78970405,0.00241216
79,#003,m1,UV,14.51193513,0.00241216
80,#003,m1,UV,13.57749499,0.00241216
81,#003,m1,UV,15.02012875,0.00241216
82,#003,m1,UV,17.15139288,0.00241216
83,#003,m1,UV,16.29993627,0.00241216
84,#003,m1,UV,13.96471021,0.002644657
85,#003,m1,UV,16.25674008,0.002644657
86,#003,m1,UV,18.06598759,0.002644657
87,#003,m1,UV,19.23886378,0.002644657
88,#003,m1,UV,17.58197857,0.002644657
89,#003,m1,UV,17.15084427,0.002644657
90,#003,m1,UV,17.5862454,0.002644657
91,#003,m1,UV,17.33718257,0.002644657
92,#003,m1,UV,14.75835537,0.002848092
93,#003,m1,UV,16.31568476,0.002848092
94,#003,m1,UV,15.49776779,0.002848092
95,#003,m1,UV,17.02170486,0.002848092
96,#003,m1,UV,17.67834321,0.002848092
97,#003,m1,UV,20.40484533,0.002848092
98,#003,m1,UV,19.464118,0.002848092
99,#003,m1,UV,13.47076819,0.002993403
100,#003,m1,UV,17.30561569,0.002993403
101,#003,m1,UV,17.46250246,0.002993403
102,#003,m1,UV,17.11472987,0.002993403
103,#003,m1,UV,15.45352197,0.002993403
104,#003,m1,UV,15.37090279,0.003196838
105,#003,m1,UV,13.84433454,0.003196838
106,#003,m1,UV,14.84331629,0.003196838
107,#003,m1,UV,17.63418253,0.003196838
108,#003,m1,UV,16.59413619,0.003196838
109,#003,m1,UV,14.99467412,0.003196838
110,#003,m1,UV,16.50551267,0.003196838
111,#003,m1,UV,17.10031128,0.00348746
112,#003,m1,UV,14.91032245,0.00348746
113,#003,m1,UV,15.07523276,0.00348746
114,#003,m1,UV,16.12858791,0.00348746
115,#003,m1,UV,16.7852924,0.00348746
116,#003,m1,UV,16.39287556,0.00348746
117,#003,m1,UV,14.73950582,0.00348746
118,#003,m1,UV,14.60499113,0.00348746
119,#003,m1,UV,16.01516406,0.00348746
120,#003,m1,UV,14.20297851,0.00348746
121,#003,m1,UV,13.69127547,0.003719957
122,#003,m1,UV,16.38449995,0.003719957
123,#003,m1,UV,16.73338127,0.003719957
124,#003,m1,UV,17.30160538,0.003719957
125,#003,m1,UV,17.16476895,0.003719957
126,#003,m1,UV,13.98762535,0.003719957
127,#003,m1,UV,15.83855492,0.003719957
128,#003,m1,UV,15.44258142,0.003719957
129,#003,m1,UV,13.57912699,0.00389433
130,#003,m1,UV,17.95884574,0.00389433
131,#003,m1,UV,16.98262441,0.00389433
132,#003,m1,UV,17.40517601,0.00389433
133,#003,m1,UV,13.45663266,0.00389433
134,#003,m1,UV,14.53356006,0.00389433
135,#003,m1,UV,13.4069575,0.004039641
136,#003,m1,UV,15.76715177,0.004039641
137,#003,m1,UV,14.66038799,0.004039641
138,#003,m1,UV,14.68295148,0.004039641
139,#003,m1,UV,15.2400732,0.004039641
140,#003,m1,UV,13.93251572,0.004272138
141,#003,m1,UV,14.56024651,0.004272138
142,#003,m1,UV,13.27220809,0.004272138
143,#003,m1,UV,14.5012151,0.004272138
144,#003,m1,UV,18.54258021,0.004272138
145,#003,m1,UV,19.27469661,0.004272138
146,#003,m1,UV,18.52405958,0.004272138
147,#003,m1,UV,18.70512079,0.004272138
148,#003,m1,UV,16.08330542,0.004417449
149,#003,m1,UV,17.51097358,0.004417449
150,#003,m1,UV,18.4095683,0.004417449
151,#003,m1,UV,16.39981829,0.004417449
152,#003,m1,UV,17.13754554,0.004417449
153,#003,m1,UV,17.24129771,0.00456276
154,#003,m1,UV,15.65942408,0.00456276
155,#003,m1,UV,17.37601676,0.00456276
156,#003,m1,UV,14.5573516,0.00456276
157,#003,m1,UV,18.84287058,0.00456276
158,#003,m1,UV,16.56612181,0.004620884
159,#003,m1,UV,17.45602216,0.004620884
160,#003,m1,UV,16.18674586,0.004766195
161,#003,m1,UV,15.75853542,0.004766195
162,#003,m1,UV,16.14134784,0.004766195
163,#003,m1,UV,15.5249066,0.004766195
164,#003,m1,UV,19.1463103,0.004766195
165,#003,m1,UV,15.25393303,0.005027754
166,#003,m1,UV,17.62892322,0.005027754
167,#003,m1,UV,18.61068736,0.005027754
168,#003,m1,UV,16.82245439,0.005027754
169,#003,m1,UV,15.39565666,0.005027754
170,#003,m1,UV,17.59796484,0.005027754
171,#003,m1,UV,14.64449784,0.005027754
172,#003,m1,UV,13.37349143,0.005027754
173,#003,m1,UV,15.01651976,0.005027754
174,#003,m1,UV,14.4374173,0.005173065
175,#003,m1,UV,16.3316263,0.005173065
176,#003,m1,UV,14.07465441,0.005173065
177,#003,m1,UV,14.98393402,0.005173065
178,#003,m1,UV,13.3903215,0.005173065
179,#003,m1,UV,13.19661367,0.005405562
180,#003,m1,UV,14.51193513,0.005405562
181,#003,m1,UV,13.12132554,0.005405562
182,#003,m1,UV,14.01139151,0.005405562
183,#003,m1,UV,17.00047114,0.005405562
184,#003,m1,UV,18.66670976,0.005405562
185,#003,m1,UV,16.00199281,0.005405562
186,#003,m1,UV,14.26005048,0.005405562
187,#003,m1,UV,17.16944852,0.005696184
188,#003,m1,UV,14.31983922,0.005696184
189,#003,m1,UV,14.63197301,0.005696184
190,#003,m1,UV,16.13553665,0.005696184
191,#003,m1,UV,17.65110769,0.005696184
192,#003,m1,UV,16.33271508,0.005696184
193,#003,m1,UV,19.06183521,0.005696184
194,#003,m1,UV,14.47909608,0.005696184
195,#003,m1,UV,16.40431321,0.005696184
196,#003,m1,UV,19.14890534,0.005696184
197,#003,m1,UV,14.8276124,0.005986806
198,#003,m1,UV,17.97167741,0.005986806
199,#003,m1,UV,13.98946749,0.005986806
200,#003,m1,UV,14.52172769,0.005986806
201,#003,m1,UV,15.37584071,0.005986806
202,#003,m1,UV,17.19302106,0.005986806
203,#003,m1,UV,18.28370123,0.005986806
204,#003,m1,UV,17.21043465,0.005986806
205,#003,m1,UV,19.71693631,0.005986806
206,#003,m1,UV,14.66615801,0.005986806
207,#003,m1,UV,17.91654846,0.006219303
208,#003,m1,UV,16.7182792,0.006219303
209,#003,m1,UV,18.10314984,0.006219303
210,#003,m1,UV,17.43977712,0.006219303
211,#003,m1,UV,15.848062,0.006219303
212,#003,m1,UV,15.80023728,0.006219303
213,#003,m1,UV,16.80556233,0.006219303
214,#003,m1,UV,16.78732344,0.006219303
215,#003,m1,UV,16.5622076,0.00630649
216,#003,m1,UV,17.13421897,0.00630649
217,#003,m1,UV,16.10215698,0.00630649
218,#003,m1,UV,18.43262962,0.0064518
219,#003,m1,UV,18.9242332,0.0064518
220,#003,m1,UV,19.18198791,0.0064518
221,#003,m1,UV,16.59917178,0.0064518
222,#003,m1,UV,18.69030838,0.0064518
223,#003,m1,UV,17.30253182,0.006655236
224,#003,m1,UV,15.03892927,0.006655236
225,#003,m1,UV,14.93920298,0.006655236
226,#003,m1,UV,13.31495038,0.006655236
227,#003,m1,UV,14.86989345,0.006655236
228,#003,m1,UV,17.17296514,0.006655236
229,#003,m1,UV,15.70740771,0.006655236
230,#003,m1,UV,15.40258605,0.006887733
231,#003,m1,UV,15.67781969,0.006887733
232,#003,m1,UV,15.24470796,0.006887733
233,#003,m1,UV,13.00715452,0.006887733
234,#003,m1,UV,16.70170701,0.006887733
235,#003,m1,UV,13.74533195,0.006887733
236,#003,m1,UV,16.60769215,0.006887733
237,#003,m1,UV,14.35836474,0.006887733
238,#003,m1,UV,13.63039973,0.007091168
239,#003,m1,UV,15.04573235,0.007091168
240,#003,m1,UV,16.37666206,0.007091168
241,#003,m1,UV,15.23568222,0.007091168
