"","mouse_id","month","treatment","clade_volume","ln2volume"
"1","#131","m1","UV",8198.134848,13.00108001
"2","#003","m1","UV",8205.053106,13.00229696
"3","#131","m1","UV",8211.971363,13.00351288
"4","#258","m1","UV",8218.88962,13.00472778
"5","#131","m1","UV",8225.807877,13.00594166
"6","#303","m1","UV",8225.807877,13.00594166
"7","#003","m1","UV",8232.726135,13.00715452
"8","#022","m1","UV",8232.726135,13.00715452
"9","#289","m1","UV",8232.726135,13.00715452
"10","#131","m1","UV",8246.562649,13.00957718
"11","#303","m1","UV",8246.562649,13.00957718
"12","#006","m1","UV",8253.480906,13.01078699
"13","#258","m1","UV",8253.480906,13.01078699
"14","#282","m1","UV",8253.480906,13.01078699
"15","#131","m1","UV",8260.399164,13.01199578
"16","#303","m1","UV",8260.399164,13.01199578
"17","#003","m1","UV",8267.317421,13.01320356
"18","#009","m1","UV",8267.317421,13.01320356
"19","#974","m1","UV",8267.317421,13.01320356
"20","#970","m1","UV",8281.153935,13.0156161
"21","#006","m1","UV",8288.072193,13.01682085
"22","#974","m1","UV",8294.99045,13.0180246
"23","#263","m1","UV",8301.908707,13.01922735
"24","#009","m1","UV",8322.663479,13.02282959
"25","#263","m1","UV",8329.581736,13.02402834
"26","#009","m1","UV",8357.254765,13.0288134
"27","#263","m1","UV",8357.254765,13.0288134
"28","#258","m1","UV",8364.173022,13.03000719
"29","#263","m1","UV",8378.009537,13.03239181
"30","#263","m1","UV",8378.009537,13.03239181
"31","#263","m1","UV",8384.927794,13.03358264
"32","#258","m1","UV",8391.846051,13.0347725
"33","#258","m1","UV",8398.764309,13.03596137
"34","#003","m1","UV",8405.682566,13.03714926
"35","#281","m1","UV",8405.682566,13.03714926
"36","#263","m1","UV",8426.437338,13.04070708
"37","#022","m1","UV",8433.355595,13.04189107
"38","#022","m1","UV",8433.355595,13.04189107
"39","#258","m1","UV",8440.273852,13.04307409
"40","#289","m1","UV",8447.192109,13.04425615
"41","#006","m1","UV",8461.028624,13.04661735
"42","#282","m1","UV",8461.028624,13.04661735
"43","#006","m1","UV",8474.865139,13.0489747
"44","#258","m1","UV",8474.865139,13.0489747
"45","#970","m1","UV",8474.865139,13.0489747
"46","#263","m1","UV",8481.783396,13.05015193
"47","#263","m1","UV",8502.538168,13.05367786
"48","#022","m1","UV",8516.374682,13.05602371
"49","#263","m1","UV",8516.374682,13.05602371
"50","#282","m1","UV",8516.374682,13.05602371
"51","#009","m1","UV",8523.292939,13.0571952
"52","#263","m1","UV",8544.047711,13.06070399
"53","#022","m1","UV",8550.965968,13.06187169
"54","#131","m1","UV",8550.965968,13.06187169
"55","#970","m1","UV",8550.965968,13.06187169
"56","#003","m1","UV",8564.802483,13.06420426
"57","#974","m1","UV",8571.72074,13.06536913
"58","#303","m1","UV",8578.638997,13.06653307
"59","#006","m1","UV",8585.557255,13.06769606
"60","#263","m1","UV",8585.557255,13.06769606
"61","#022","m1","UV",8592.475512,13.06885812
"62","#291","m1","UV",8592.475512,13.06885812
"63","#282","m1","UV",8599.393769,13.07001924
"64","#289","m1","UV",8599.393769,13.07001924
"65","#258","m1","UV",8606.312026,13.07117943
"66","#263","m1","UV",8620.148541,13.07349701
"67","#003","m1","UV",8627.066798,13.07465441
"68","#006","m1","UV",8647.82157,13.07812104
"69","#022","m1","UV",8654.739827,13.07927474
"70","#282","m1","UV",8654.739827,13.07927474
"71","#006","m1","UV",8675.494599,13.08273029
"72","#258","m1","UV",8689.331113,13.08502941
"73","#131","m1","UV",8703.167628,13.08732487
"74","#258","m1","UV",8703.167628,13.08732487
"75","#258","m1","UV",8703.167628,13.08732487
"76","#970","m1","UV",8703.167628,13.08732487
"77","#263","m1","UV",8717.004142,13.08961668
"78","#974","m1","UV",8717.004142,13.08961668
"79","#022","m1","UV",8730.840657,13.09190486
"80","#970","m1","UV",8737.758914,13.09304759
"81","#022","m1","UV",8772.350201,13.09874769
"82","#022","m1","UV",8779.268458,13.09988502
"83","#282","m1","UV",8779.268458,13.09988502
"84","#258","m1","UV",8786.186715,13.10102144
"85","#970","m1","UV",8786.186715,13.10102144
"86","#282","m1","UV",8793.104972,13.10215698
"87","#317","m1","UV",8793.104972,13.10215698
"88","#281","m1","UV",8841.532773,13.11008078
"89","#282","m1","UV",8841.532773,13.11008078
"90","#282","m1","UV",8841.532773,13.11008078
"91","#003","m1","UV",8848.45103,13.11120921
"92","#258","m1","UV",8848.45103,13.11120921
"93","#003","m1","UV",8855.369288,13.11233676
"94","#263","m1","UV",8876.124059,13.11571412
"95","#003","m1","UV",8889.960574,13.11796131
"96","#003","m1","UV",8889.960574,13.11796131
"97","#258","m1","UV",8889.960574,13.11796131
"98","#282","m1","UV",8889.960574,13.11796131
"99","#131","m1","UV",8896.878831,13.11908359
"100","#003","m1","UV",8910.715346,13.12132554
"101","#289","m1","UV",8910.715346,13.12132554
"102","#317","m1","UV",8917.633603,13.12244521
"103","#003","m1","UV",8924.55186,13.12356401
"104","#258","m1","UV",8924.55186,13.12356401
"105","#289","m1","UV",8924.55186,13.12356401
"106","#974","m1","UV",8924.55186,13.12356401
"107","#263","m1","UV",8938.388375,13.12579902
"108","#282","m1","UV",8959.143146,13.12914504
"109","#009","m1","UV",8966.061404,13.13025866
"110","#303","m1","UV",8966.061404,13.13025866
"111","#970","m1","UV",8979.897918,13.13248333
"112","#022","m1","UV",8986.816175,13.13359438
"113","#281","m1","UV",8986.816175,13.13359438
"114","#289","m1","UV",8986.816175,13.13359438
"115","#281","m1","UV",8993.734433,13.13470457
"116","#022","m1","UV",9000.65269,13.13581391
