,mouse_id,month,treatment,structure_volume
1,#003,m1,UV,21418.92446
2,#003,m1,UV,4462386.622
3,#003,m1,UV,596637.424
4,#003,m1,UV,10667.95269
5,#003,m1,UV,843750.6549
6,#003,m1,UV,246158.5114
7,#003,m1,UV,102528.5725
8,#003,m1,UV,228032.6774
9,#003,m1,UV,120481.4501
10,#003,m1,UV,120363.8397
11,#003,m1,UV,31332.78711
12,#003,m1,UV,21744.08256
13,#003,m1,UV,214915.6617
14,#003,m1,UV,592085.2107
15,#003,m1,UV,512788.1461
16,#003,m1,UV,106375.1236
17,#003,m1,UV,29250.39168
18,#003,m1,UV,14908.84439
19,#003,m1,UV,33401.34603
20,#003,m1,UV,11089.96638
21,#003,m1,UV,33636.56678
22,#003,m1,UV,13428.33733
23,#003,m1,UV,94420.37503
24,#003,m1,UV,50454.85017
25,#003,m1,UV,105012.2269
26,#003,m1,UV,29333.41077
27,#003,m1,UV,10723.29875
28,#003,m1,UV,11913.239
29,#003,m1,UV,32474.29956
30,#003,m1,UV,12985.56887
31,#003,m1,UV,8405.682566
32,#003,m1,UV,53720.26759
33,#003,m1,UV,71237.29496
34,#003,m1,UV,34162.35433
35,#003,m1,UV,8627.066798
36,#003,m1,UV,16465.45227
37,#003,m1,UV,8564.802483
38,#003,m1,UV,39088.1535
39,#003,m1,UV,20395.02239
40,#003,m1,UV,63205.19829
41,#003,m1,UV,27652.27425
42,#003,m1,UV,45909.55515
43,#003,m1,UV,17489.35434
44,#003,m1,UV,2176068.637
45,#003,m1,UV,2176068.637
46,#003,m1,UV,2176068.637
47,#003,m1,UV,1401244.579
48,#003,m1,UV,16444.6975
49,#003,m1,UV,1654376.694
50,#003,m1,UV,53215.23481
51,#003,m1,UV,154194.1177
52,#003,m1,UV,174506.121
53,#003,m1,UV,279725.8956
54,#003,m1,UV,72157.42318
55,#003,m1,UV,327136.7126
56,#003,m1,UV,219073.5343
57,#003,m1,UV,149282.1551
58,#003,m1,UV,33304.49043
59,#003,m1,UV,24656.66886
60,#003,m1,UV,171794.1642
61,#003,m1,UV,36217.07674
62,#003,m1,UV,28219.57135
63,#003,m1,UV,15448.46845
64,#003,m1,UV,247438.389
65,#003,m1,UV,97568.18208
66,#003,m1,UV,99512.21237
67,#003,m1,UV,81075.05678
68,#003,m1,UV,30647.87964
69,#003,m1,UV,69127.2265
70,#003,m1,UV,15856.64563
71,#003,m1,UV,374775.8321
