mouse,month,treatment,ln2volume,hotspots
#003,1,UV,12.91064654,0
#003,1,UV,14.38659842,0
#003,1,UV,22.08938408,0
#003,1,UV,19.18649495,0
#003,1,UV,13.38099571,0
#003,1,UV,19.68645719,0
#003,1,UV,17.9092281,1
#003,1,UV,16.64566649,0
#003,1,UV,17.79888105,0
#003,1,UV,16.87845151,0
#003,1,UV,16.87704251,0
#003,1,UV,14.93538549,0
#003,1,UV,14.40833522,0
#003,1,UV,17.7134111,0
#003,1,UV,19.17544529,0
#003,1,UV,18.96800339,0
#003,1,UV,16.69880128,0
#003,1,UV,14.83616832,0
#003,1,UV,13.86388082,0
#003,1,UV,15.02761862,0
#003,1,UV,12.77909335,0
#003,1,UV,13.43696737,0
#003,1,UV,15.03774284,0
#003,1,UV,13.71299306,0
#003,1,UV,16.52681059,0
#003,1,UV,15.62270534,0
#003,1,UV,16.68019779,0
#003,1,UV,14.84025721,0
#003,1,UV,13.38846116,0
#003,1,UV,13.54027809,0
#003,1,UV,14.98701079,0
#003,1,UV,13.6646216,0
#003,1,UV,13.03714926,0
#003,1,UV,15.71317887,0
#003,1,UV,16.12034511,0
#003,1,UV,15.06011978,0
#003,1,UV,13.07465441,0
#003,1,UV,14.00715452,0
#003,1,UV,13.06420426,0
#003,1,UV,15.25444381,0
#003,1,UV,14.31592947,0
#003,1,UV,15.9477556,0
#003,1,UV,14.75511052,0
#003,1,UV,15.48650683,0
#003,1,UV,14.09418941,0
#003,1,UV,21.05329263,3
#003,1,UV,20.41827736,0
#003,1,UV,14.00533485,0
#003,1,UV,20.65785634,0
#003,1,UV,15.69955171,0
#003,1,UV,17.2343882,0
#003,1,UV,17.41291812,0
#003,1,UV,18.09365429,0
#003,1,UV,16.1388602,0
#003,1,UV,18.31953415,0
#003,1,UV,17.74105568,0
#003,1,UV,17.18768219,0
#003,1,UV,15.02342909,0
#003,1,UV,14.58969028,0
#003,1,UV,17.3903215,0
#003,1,UV,15.14438248,0
#003,1,UV,14.78440845,0
#003,1,UV,13.9151762,0
#003,1,UV,17.91670982,0
#003,1,UV,16.57412313,0
#003,1,UV,16.60258597,0
#003,1,UV,16.30697051,0
#003,1,UV,14.90349964,0
#003,1,UV,16.07696642,0
#003,1,UV,13.95279999,0
#003,1,UV,18.5156684,0
#003,1,UV,15.80285861,0
#003,1,UV,17.33971203,0
#003,1,UV,14.72998788,0
#003,1,UV,14.37019599,0
#003,1,UV,13.30216132,0
#003,1,UV,16.89885144,0
#003,1,UV,8.697299256,0
#003,1,UV,13.78970405,0
#003,1,UV,14.51193513,0
#003,1,UV,13.57749499,0
#003,1,UV,15.02012875,0
#003,1,UV,17.15139288,0
#003,1,UV,16.29993627,0
#003,1,UV,13.96471021,0
#003,1,UV,16.25674008,0
#003,1,UV,18.06598759,0
#003,1,UV,19.23886378,0
#003,1,UV,17.58197857,1
#003,1,UV,17.15084427,0
#003,1,UV,17.5862454,0
#003,1,UV,17.33718257,0
#003,1,UV,14.75835537,0
#003,1,UV,16.31568476,0
#003,1,UV,15.49776779,0
#003,1,UV,17.02170486,0
#003,1,UV,17.67834321,0
#003,1,UV,20.40484533,1
#003,1,UV,19.464118,1
#003,1,UV,13.47076818,0
#003,1,UV,17.30561569,0
#003,1,UV,17.46250246,0
#003,1,UV,17.11472987,0
#003,1,UV,15.45352197,0
#003,1,UV,15.37090279,0
#003,1,UV,13.84433454,0
#003,1,UV,14.84331629,0
#003,1,UV,17.63418253,0
#003,1,UV,16.59413619,0
#003,1,UV,14.99467412,0
#003,1,UV,16.50551267,0
#003,1,UV,17.10031128,0
#003,1,UV,14.91032245,0
#003,1,UV,15.07523276,0
#003,1,UV,12.89238433,0
#003,1,UV,16.12858791,0
#003,1,UV,16.7852924,0
#003,1,UV,16.39287556,0
#003,1,UV,14.73950582,0
#003,1,UV,14.60499113,0
#003,1,UV,16.01516406,0
#003,1,UV,14.20297851,0
#003,1,UV,13.69127547,0
#003,1,UV,16.38449995,0
#003,1,UV,16.73338127,0
#003,1,UV,17.30160538,0
#003,1,UV,17.16476895,0
#003,1,UV,13.98762535,0
#003,1,UV,15.83855492,0
#003,1,UV,15.44258141,0
#003,1,UV,13.57912699,0
#003,1,UV,17.95884574,1
#003,1,UV,16.98262441,0
#003,1,UV,17.40517601,1
#003,1,UV,13.45663266,0
#003,1,UV,14.53356006,0
#003,1,UV,13.40695751,0
#003,1,UV,15.76715177,0
#003,1,UV,14.66038799,0
#003,1,UV,14.68295148,0
#003,1,UV,12.96907351,0
#003,1,UV,15.2400732,0
#003,1,UV,13.93251572,0
#003,1,UV,14.56024651,0
#003,1,UV,12.95782681,0
#003,1,UV,13.27220809,0
#003,1,UV,14.5012151,0
#003,1,UV,18.54258021,0
#003,1,UV,19.27469661,0
#003,1,UV,18.52405958,0
#003,1,UV,18.70512079,0
#003,1,UV,16.08330542,0
#003,1,UV,17.51097358,0
#003,1,UV,18.4095683,1
#003,1,UV,16.39981829,0
#003,1,UV,17.13754554,0
#003,1,UV,17.24129771,0
#003,1,UV,15.65942408,0
#003,1,UV,17.37601676,0
#003,1,UV,14.5573516,0
#003,1,UV,18.84287058,0
#003,1,UV,16.56612181,0
#003,1,UV,17.45602216,0
#003,1,UV,16.18674586,0
#003,1,UV,15.75853542,0
#003,1,UV,16.14134784,0
#003,1,UV,15.5249066,0
#003,1,UV,19.1463103,0
#003,1,UV,15.25393303,0
#003,1,UV,17.62892322,0
#003,1,UV,18.61068736,0
#003,1,UV,16.82245439,0
#003,1,UV,15.39565666,0
#003,1,UV,17.59796484,0
#003,1,UV,14.64449784,0
#003,1,UV,13.37349143,0
#003,1,UV,15.01651976,0
#003,1,UV,14.4374173,0
#003,1,UV,16.3316263,0
#003,1,UV,14.07465441,0
#003,1,UV,14.98393402,0
#003,1,UV,13.3903215,0
#003,1,UV,13.19661367,0
#003,1,UV,12.96033366,0
#003,1,UV,14.51193513,0
#003,1,UV,13.12132554,0
#003,1,UV,12.8030332,0
#003,1,UV,14.01139151,0
#003,1,UV,12.89500742,0
#003,1,UV,17.00047114,0
#003,1,UV,18.66670976,0
#003,1,UV,16.00199281,0
#003,1,UV,14.26005048,0
#003,1,UV,17.16944852,0
#003,1,UV,14.31983922,0
#003,1,UV,14.63197301,0
#003,1,UV,16.13553665,0
#003,1,UV,17.65110769,0
#003,1,UV,16.33271508,0
#003,1,UV,19.06183521,0
#003,1,UV,14.47909608,0
#003,1,UV,16.40431321,0
#003,1,UV,19.14890534,0
#003,1,UV,14.8276124,0
#003,1,UV,17.97167741,0
#003,1,UV,13.98946749,0
#003,1,UV,14.52172769,0
#003,1,UV,15.37584071,0
#003,1,UV,17.19302106,0
#003,1,UV,18.28370123,0
#003,1,UV,17.21043465,0
#003,1,UV,19.71693631,0
#003,1,UV,14.66615801,0
#003,1,UV,17.91654846,0
#003,1,UV,16.7182792,0
#003,1,UV,18.10314984,0
#003,1,UV,17.43977712,0
#003,1,UV,15.848062,0
#003,1,UV,15.80023728,0
#003,1,UV,16.80556233,0
#003,1,UV,16.78732344,0
#003,1,UV,16.5622076,0
#003,1,UV,17.13421897,0
#003,1,UV,16.10215698,0
#003,1,UV,18.43262962,0
#003,1,UV,18.9242332,0
#003,1,UV,19.18198791,0
#003,1,UV,16.59917178,0
#003,1,UV,18.69030838,1
#003,1,UV,17.30253182,0
#003,1,UV,15.03892927,0
#003,1,UV,14.93920298,0
#003,1,UV,13.31495038,0
#003,1,UV,14.86989345,0
#003,1,UV,17.17296514,0
#003,1,UV,15.70740771,0
#003,1,UV,15.40258605,0
#003,1,UV,15.67781969,0
#003,1,UV,15.24470796,0
#003,1,UV,12.84704638,0
#003,1,UV,13.00715452,0
#003,1,UV,16.70170701,0
#003,1,UV,13.74533195,0
#003,1,UV,16.60769215,0
#003,1,UV,14.35836474,0
#003,1,UV,13.63039973,0
#003,1,UV,15.04573235,0
#003,1,UV,16.37666206,0
#003,1,UV,15.23568222,0
#003,1,UV,12.76768858,0
#003,1,UV,14.72778248,0
#003,1,UV,13.11233676,0
#003,1,UV,14.37302111,0
#003,1,UV,13.28025662,0
#003,1,UV,14.19820751,0
#003,1,UV,13.59937284,0
#003,1,UV,15.57831122,0
#003,1,UV,14.09018906,0
#003,1,UV,18.39249854,0
#003,1,UV,13.72409932,0
#003,1,UV,13.11796131,0
#003,1,UV,19.08549597,0
#003,1,UV,12.91194218,0
#003,1,UV,13.47076818,0
#003,1,UV,13.12356401,0
#003,1,UV,15.90105509,0
#003,1,UV,17.01877644,0
#003,1,UV,13.19555012,0
#003,1,UV,13.28925787,0
#003,1,UV,13.95908078,0
#003,1,UV,17.52770883,0
#003,1,UV,13.00229696,0
#003,1,UV,14.57545238,0
#003,1,UV,16.31335793,0
#003,1,UV,15.29174828,0
#003,1,UV,15.77536109,0
#003,1,UV,12.8524548,0
#003,1,UV,14.62764236,0
#003,1,UV,14.20138993,0
#003,1,UV,13.50979748,0
#003,1,UV,13.11120921,0
#003,1,UV,19.59014561,1
#003,1,UV,15.33754419,0
#003,1,UV,18.9548246,0
#003,1,UV,16.56540157,0
#003,1,UV,17.18292734,0
#003,1,UV,19.98503087,0
#003,1,UV,17.33591618,0
#003,1,UV,19.17601833,0
#003,1,UV,16.88794704,0
#003,1,UV,17.15836937,0
#003,1,UV,18.3923245,0
#003,1,UV,19.8580846,0
#003,1,UV,19.70195279,1
#003,1,UV,18.78250612,0
#003,1,UV,17.92788016,1
#003,1,UV,15.3183743,0
#003,1,UV,15.82038601,0
#003,1,UV,16.5230001,0
#003,1,UV,15.91646778,0
#003,1,UV,17.84136263,0
#003,1,UV,17.11339303,0
#003,1,UV,16.1042837,0
#003,1,UV,16.08201107,0
#003,1,UV,16.03268961,0
#003,1,UV,15.92547661,0
#003,1,UV,15.23257463,0
#003,1,UV,15.30314912,0
#003,1,UV,17.61785061,0
#003,1,UV,16.88975647,0
#003,1,UV,17.02761862,0
#003,1,UV,15.04691223,0
#003,1,UV,16.43831674,0
#003,1,UV,17.00495546,0
#003,1,UV,14.93283486,0
#003,1,UV,15.42997548,0
#003,1,UV,15.25137642,0
#003,1,UV,15.30438294,0
#003,1,UV,14.51406961,0
#003,1,UV,14.2575047,0
#003,1,UV,14.72925312,0
#003,1,UV,12.84025721,0
#003,1,UV,13.2050939,0
#003,1,UV,13.92033559,0
#003,1,UV,14.85750685,0
#003,1,UV,13.1997996,0
#003,1,UV,12.84975312,0
#003,1,UV,16.00624497,0
#003,1,UV,13.63432971,0
#003,1,UV,18.60200913,0
#003,1,UV,17.90504572,0
#003,1,UV,15.78970405,0
#003,1,UV,18.82979899,0
#003,1,UV,15.76571928,0
#003,1,UV,17.89205611,0
#003,1,UV,21.04959562,0
#003,1,UV,17.47521206,0
#003,1,UV,17.43572934,0
#003,1,UV,17.51668005,0
#003,1,UV,18.30453709,1
#003,1,UV,17.2526553,0
#003,1,UV,15.95295734,0
#003,1,UV,17.39374523,0
#003,1,UV,19.07103446,0
#003,1,UV,17.4323475,0
#003,1,UV,16.99589648,0
#003,1,UV,17.1663305,0
#003,1,UV,20.13814248,0
#003,1,UV,17.43764221,0
#003,1,UV,15.49755206,0
