ecdf_y,UV_x,no_UV_x,dx,month
0,13.00108001,12.99400294,0.007077072,m1
0.01010101,13.06614435,13.03438276,0.031761594,m1
0.02020202,13.13836874,13.07398246,0.064386277,m1
0.03030303,13.23256058,13.11665706,0.115903527,m1
0.04040404,13.30912695,13.16512299,0.144003961,m1
0.050505051,13.37210257,13.21892962,0.153172945,m1
0.060606061,13.43485466,13.28073896,0.154115704,m1
0.070707071,13.49672917,13.35455609,0.14217308,m1
0.080808081,13.56356702,13.41972981,0.143837204,m1
0.090909091,13.63444925,13.47553772,0.158911527,m1
0.101010101,13.70940855,13.52744991,0.181958641,m1
0.111111111,13.78235395,13.57402606,0.208327887,m1
0.121212121,13.84300434,13.61972619,0.223278149,m1
0.131313131,13.89855893,13.67353546,0.225023466,m1
0.141414141,13.95223944,13.73695342,0.215286025,m1
0.151515152,14.00460765,13.79670874,0.207898912,m1
0.161616162,14.06543887,13.85040748,0.215031387,m1
0.171717172,14.13613565,13.90185066,0.234284994,m1
0.181818182,14.21142942,13.95144876,0.259980663,m1
0.191919192,14.28895973,13.99969862,0.289261109,m1
0.202020202,14.3546218,14.05189476,0.302727041,m1
0.212121212,14.41534571,14.11004855,0.305297163,m1
0.222222222,14.47967796,14.16953669,0.310141271,m1
0.232323232,14.54419104,14.22955432,0.314636717,m1
0.242424242,14.60177235,14.28744626,0.314326087,m1
0.252525253,14.65748555,14.33737409,0.320111464,m1
0.262626263,14.73141248,14.3820903,0.349322173,m1
0.272727273,14.81871355,14.42574975,0.392963796,m1
0.282828283,14.8970132,14.46970713,0.427306069,m1
0.292929293,14.96309332,14.51301444,0.450078886,m1
0.303030303,15.01085699,14.55717917,0.453677816,m1
0.313131313,15.05740211,14.60338494,0.454017175,m1
0.323232323,15.12063105,14.65044687,0.470184173,m1
0.333333333,15.19571837,14.6962835,0.499434865,m1
0.343434343,15.27642213,14.73949938,0.536922744,m1
0.353535354,15.35083754,14.78246746,0.568370082,m1
0.363636364,15.4079095,14.82846387,0.579445625,m1
0.373737374,15.45961945,14.87931872,0.580300731,m1
0.383838384,15.51111864,14.93080705,0.58031159,m1
0.393939394,15.5615598,14.9779432,0.583616598,m1
0.404040404,15.61774042,15.02181055,0.595929875,m1
0.414141414,15.68126152,15.06788454,0.613376987,m1
0.424242424,15.74376511,15.12140479,0.622360321,m1
0.434343434,15.80382962,15.17875831,0.62507131,m1
0.444444444,15.86206987,15.23068015,0.631389721,m1
0.454545455,15.91706467,15.27706082,0.640003846,m1
0.464646465,15.97207907,15.32387991,0.648199159,m1
0.474747475,16.03125946,15.37644023,0.654819232,m1
0.484848485,16.09297886,15.43215138,0.660827482,m1
0.494949495,16.15432072,15.48357685,0.670743876,m1
0.505050505,16.21637364,15.5288419,0.687531738,m1
0.515151515,16.28713795,15.57430428,0.712833667,m1
0.525252525,16.36307094,15.62578026,0.737290677,m1
0.535353535,16.42392606,15.68218806,0.741738002,m1
0.545454545,16.47624159,15.74427831,0.731963286,m1
0.555555556,16.52394428,15.81445671,0.709487564,m1
0.565656566,16.56415583,15.88235363,0.681802196,m1
0.575757576,16.60559569,15.94704395,0.65855174,m1
0.585858586,16.6598175,16.00419534,0.655622161,m1
