goliath,mutation,frequency
g006,Adgrb3,0.814
g006,Adgrb3,0.796
g006,Adgrb3,0.794
g006,Adgrb3,0.783
g006,Adgrb3,0.71
g006,Adgrb3,0.616
g006,Adgrb3,0.464
g006,Adgrb3,0.375
g006,Ajuba,0.157
g006,Arid1a,0.8
g006,Arid1a,0.76
g006,Arid1a,0.62
g006,Arid1a,0.6
g006,Arid1a,0.208
g006,Arid1a,0.198
g006,Arid2,0.628
g006,Arid2,0.605
g006,Arid2,0.265
g006,Braf,0.413
g006,Braf,0.222
g006,Braf,0.173
g006,Ccnd1,0.541
g006,Crebbp,0.809
g006,Crebbp,0.803
g006,Crebbp,0.616
g006,Crebbp,0.616
g006,Crebbp,0.543
g006,Crebbp,0.406
g006,Cul3,0.593
g006,Cul3,0.252
g006,Dicer1,0.877
g006,Dicer1,0.838
g006,Ezh2,0.208
g006,Ezh2,0.182
g006,Fat1,0.5
g006,Fat1,0.461
g006,Fbxw7,0.728
g006,Fbxw7,0.472
g006,Fbxw7,0.45
g006,Fgfr3,0.861
g006,Kcnh5,0.634
g006,Kcnh5,0.293
g006,Kcnh5,0.25
g006,Kmt2a,0.854
g006,Kmt2a,0.852
g006,Kmt2a,0.638
g006,Kmt2a,0.625
g006,Kmt2c,0.903
g006,Kmt2c,0.554
g006,Kmt2d,0.659
g006,Kmt2d,0.394
g006,Kmt2d,0.286
g006,Kras,0.681
g006,Kras,0.638
g006,Kras,0.627
g006,Nf1,0.822
g006,Nf1,0.348
g006,Plcb1,0.704
g006,Plcb1,0.64
g006,Ppp1r3a,0.182
g006,Pten,0.851
g006,Pten,0.837
g006,Pten,0.836
g006,Pten,0.766
g006,Ptprt,0.886
g006,Ptprt,0.332
g006,Rbm10,0.357
g006,Sall1,0.63
g006,Scn1a,0.625
g006,Scn1a,0.576
g006,Setd2,0.5
g006,Setd2,0.5
g006,Smo,0.517
g444,Adam29,0.04
g444,Adam29,0.022
g444,Adamts18,0.072
g444,Adamts18,0.068
g444,Adamts18,0.048
g444,Adgrb3,0.118
g444,Adgrb3,0.1
g444,Adgrb3,0.089
g444,Adgrb3,0.078
g444,Adgrb3,0.059
g444,Adgrb3,0.031
g444,Adgrb3,0.02
g444,Akt2,0.137
g444,Akt2,0.107
g444,Akt2,0.042
g444,Apob,0.147
g444,Apob,0.076
g444,Apob,0.057
g444,Apob,0.033
g444,Apob,0.031
g444,Apob,0.026
g444,Apob,0.023
g444,Apob,0.018
g444,Apob,0.013
g444,Arid1a,0.209
g444,Arid1a,0.122
g444,Arid1a,0.027
g444,Arid1a,0.024
